x(m)	y(m)	z(m)	distfromvent(m)	ttlmassloading(kg/sq-m)	Md(phi)	5phi	4phi	3phi	2phi	1phi	0phi	-1phi	-2phi	-3phi	-4phi
689000	3523000	244	14344.9	1.8687e+01	0.727	3.7844e-07	1.5273e-03	5.1940e-02	1.3288e+00	1.1178e+01	5.7229e+00	3.9765e-01	6.3891e-03	2.2193e-05	1.6559e-08
690000	3523000	243	15127.8	1.6441e+01	0.670	3.9495e-07	8.4946e-04	1.8497e-02	7.9158e-01	9.7371e+00	5.5291e+00	3.5852e-01	5.1456e-03	1.5525e-05	9.8678e-09
691000	3523000	230	15935.0	1.4500e+01	0.628	4.1217e-07	4.5923e-04	6.0445e-03	4.7597e-01	8.4479e+00	5.2522e+00	3.1315e-01	3.9849e-03	1.0371e-05	5.5718e-09
692000	3523000	164	16763.0	1.2784e+01	0.596	4.4321e-07	3.1775e-04	2.1040e-03	2.9087e-01	7.3021e+00	4.9192e+00	2.6611e-01	2.9869e-03	6.6645e-06	3.0008e-09
693000	3523000	204	17608.9	1.1412e+01	0.581	4.4407e-07	1.9854e-04	5.4061e-04	1.8980e-01	6.4708e+00	4.5321e+00	2.1652e-01	2.1254e-03	4.0349e-06	1.5085e-09
694000	3523000	171	18470.1	1.0150e+01	0.573	4.7107e-07	1.9068e-04	1.9024e-04	1.2694e-01	5.7385e+00	4.1107e+00	1.7167e-01	1.4719e-03	2.3659e-06	7.2679e-10
695000	3523000	154	19344.8	9.0408e+00	0.576	4.9146e-07	1.9743e-04	9.4429e-05	8.8517e-02	5.1606e+00	3.6587e+00	1.3168e-01	9.8443e-04	1.3324e-06	3.3246e-10
696000	3523000	151	20231.0	8.0460e+00	0.587	5.0686e-07	1.9632e-04	7.7321e-05	6.4068e-02	4.6953e+00	3.1877e+00	9.7966e-02	6.3852e-04	7.2426e-07	1.4498e-10
697000	3523000	151	21127.4	7.1291e+00	0.606	5.2122e-07	1.9361e-04	8.3916e-05	4.7803e-02	4.2968e+00	2.7129e+00	7.0971e-02	4.0397e-04	3.8253e-07	6.0667e-11
698000	3523000	128	22032.7	6.2552e+00	0.630	5.4052e-07	2.1133e-04	1.1557e-04	3.6313e-02	3.9158e+00	2.2522e+00	5.0369e-02	2.5118e-04	1.9805e-07	2.4594e-11
699000	3523000	145	22945.9	5.4624e+00	0.659	5.5012e-07	1.8980e-04	1.2007e-04	2.8692e-02	3.5742e+00	1.8241e+00	3.4948e-02	1.5292e-04	1.0011e-07	9.6276e-12
700000	3523000	134	23866.1	4.6995e+00	0.688	5.6582e-07	1.9419e-04	1.5414e-04	2.2942e-02	3.2098e+00	1.4423e+00	2.3943e-02	9.2229e-05	5.0086e-08	3.6999e-12
701000	3523000	125	24792.4	3.9925e+00	0.717	5.8006e-07	1.9392e-04	1.9741e-04	1.8788e-02	2.8414e+00	1.1156e+00	1.6194e-02	5.5013e-05	2.4759e-08	1.3962e-12
