s	phi-3.0	phi-3.1	phi-3.2	phi-3.3	phi-3.4	phi-3.5	phi-3.6	phi-3.7	phi-3.8	phi-3.9
137	0.3475	0.1675	0.0790	0.0364	0.0164	0.0072	0.0031	0.0013	0.0005	0.0002
138	0.3230	0.1553	0.0730	0.0336	0.0151	0.0066	0.0028	0.0012	0.0005	0.0002
139	0.3003	0.1440	0.0675	0.0309	0.0138	0.0060	0.0026	0.0011	0.0004	0.0002
140	0.2791	0.1335	0.0624	0.0285	0.0127	0.0055	0.0024	0.0010	0.0004	0.0002
141	0.2594	0.1238	0.0577	0.0263	0.0117	0.0051	0.0022	0.0009	0.0004	0.0001
142	0.2412	0.1148	0.0534	0.0243	0.0108	0.0047	0.0020	0.0008	0.0003	0.0001
143	0.2242	0.1064	0.0494	0.0224	0.0099	0.0043	0.0018	0.0007	0.0003	0.0001
144	0.2084	0.0987	0.0457	0.0206	0.0091	0.0039	0.0016	0.0007	0.0003	0.0001
145	0.1937	0.0915	0.0422	0.0190	0.0084	0.0036	0.0015	0.0006	0.0002	0.0001
146	0.1801	0.0848	0.0390	0.0175	0.0077	0.0033	0.0014	0.0006	0.0002	0.0001
147	0.1674	0.0786	0.0361	0.0162	0.0071	0.0030	0.0013	0.0005	0.0002	0.0001
148	0.1556	0.0729	0.0334	0.0149	0.0065	0.0028	0.0011	0.0005	0.0002	0.0001
149	0.1446	0.0676	0.0309	0.0138	0.0060	0.0025	0.0010	0.0004	0.0002	0.0001
150	0.1344	0.0627	0.0285	0.0127	0.0055	0.0023	0.0010	0.0004	0.0002	0.0001
151	0.1250	0.0581	0.0264	0.0117	0.0051	0.0021	0.0009	0.0004	0.0001	0.0001
152	0.1162	0.0539	0.0244	0.0108	0.0047	0.0020	0.0008	0.0003	0.0001	0.0000
153	0.1080	0.0500	0.0226	0.0099	0.0043	0.0018	0.0007	0.0003	0.0001	0.0000
154	0.1004	0.0463	0.0209	0.0092	0.0039	0.0016	0.0007	0.0003	0.0001	0.0000
155	0.0933	0.0430	0.0193	0.0085	0.0036	0.0015	0.0006	0.0002	0.0001	0.0000
156	0.0867	0.0398	0.0178	0.0078	0.0033	0.0014	0.0006	0.0002	0.0001	0.0000
157	0.0806	0.0369	0.0165	0.0072	0.0031	0.0013	0.0005	0.0002	0.0001	0.0000
158	0.0749	0.0342	0.0153	0.0066	0.0028	0.0012	0.0005	0.0002	0.0001	0.0000
159	0.0697	0.0317	0.0141	0.0061	0.0026	0.0011	0.0004	0.0002	0.0001	0.0000
160	0.0648	0.0294	0.0130	0.0056	0.0024	0.0010	0.0004	0.0002	0.0001	0.0000
161	0.0602	0.0273	0.0121	0.0052	0.0022	0.0009	0.0004	0.0001	0.0001	0.0000
162	0.0560	0.0253	0.0112	0.0048	0.0020	0.0008	0.0003	0.0001	0.0000	0.0000
163	0.0520	0.0235	0.0103	0.0044	0.0018	0.0008	0.0003	0.0001	0.0000	0.0000
164	0.0484	0.0217	0.0095	0.0041	0.0017	0.0007	0.0003	0.0001	0.0000	0.0000
165	0.0449	0.0202	0.0088	0.0038	0.0016	0.0006	0.0002	0.0001	0.0000	0.0000
166	0.0418	0.0187	0.0082	0.0035	0.0014	0.0006	0.0002	0.0001	0.0000	0.0000
167	0.0388	0.0173	0.0075	0.0032	0.0013	0.0005	0.0002	0.0001	0.0000	0.0000
168	0.0361	0.0161	0.0070	0.0029	0.0012	0.0005	0.0002	0.0001	0.0000	0.0000
169	0.0336	0.0149	0.0064	0.0027	0.0011	0.0004	0.0002	0.0001	0.0000	0.0000
170	0.0312	0.0138	0.0060	0.0025	0.0010	0.0004	0.0002	0.0001	0.0000	0.0000
171	0.0290	0.0128	0.0055	0.0023	0.0009	0.0004	0.0001	0.0001	0.0000	0.0000
172	0.0270	0.0119	0.0051	0.0021	0.0009	0.0003	0.0001	0.0000	0.0000	0.0000
173	0.0251	0.0110	0.0047	0.0020	0.0008	0.0003	0.0001	0.0000	0.0000	0.0000
174	0.0233	0.0102	0.0044	0.0018	0.0007	0.0003	0.0001	0.0000	0.0000	0.0000
175	0.0217	0.0095	0.0040	0.0017	0.0007	0.0003	0.0001	0.0000	0.0000	0.0000
176	0.0201	0.0088	0.0037	0.0015	0.0006	0.0002	0.0001	0.0000	0.0000	0.0000
177	0.0187	0.0081	0.0034	0.0014	0.0006	0.0002	0.0001	0.0000	0.0000	0.0000
178	0.0174	0.0075	0.0032	0.0013	0.0005	0.0002	0.0001	0.0000	0.0000	0.0000
179	0.0162	0.0070	0.0029	0.0012	0.0005	0.0002	0.0001	0.0000	0.0000	0.0000
180	0.0150	0.0065	0.0027	0.0011	0.0004	0.0002	0.0001	0.0000	0.0000	0.0000
181	0.0140	0.0060	0.0025	0.0010	0.0004	0.0002	0.0001	0.0000	0.0000	0.0000
182	0.0130	0.0056	0.0023	0.0009	0.0004	0.0001	0.0001	0.0000	0.0000	0.0000
183	0.0121	0.0052	0.0022	0.0009	0.0003	0.0001	0.0000	0.0000	0.0000	0.0000
184	0.0112	0.0048	0.0020	0.0008	0.0003	0.0001	0.0000	0.0000	0.0000	0.0000
185	0.0104	0.0044	0.0018	0.0007	0.0003	0.0001	0.0000	0.0000	0.0000	0.0000
186	0.0097	0.0041	0.0017	0.0007	0.0003	0.0001	0.0000	0.0000	0.0000	0.0000
187	0.0090	0.0038	0.0016	0.0006	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000
188	0.0084	0.0035	0.0015	0.0006	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000
189	0.0078	0.0033	0.0013	0.0005	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000
190	0.0072	0.0030	0.0012	0.0005	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000
191	0.0067	0.0028	0.0012	0.0005	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000
192	0.0063	0.0026	0.0011	0.0004	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000
193	0.0058	0.0024	0.0010	0.0004	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000
194	0.0054	0.0022	0.0009	0.0004	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000
195	0.0050	0.0021	0.0008	0.0003	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000
