i	x_from_vent	y_from_vent	x_coord	y_coord	sigma_square	mass_released
219	69059.7272	-40870.5261	747022.7272	3491292.4739	16043205.9953	4.8726e+06
220	69155.7642	-40898.3988	747118.7642	3491264.6012	16043205.9953	4.8370e+06
221	69251.8012	-40926.2715	747214.8012	3491236.7285	16043205.9953	4.8016e+06
222	69347.8383	-40954.1443	747310.8383	3491208.8557	16043205.9953	4.7664e+06
223	69443.8753	-40982.0170	747406.8753	3491180.9830	16043205.9953	4.7315e+06
224	69539.9123	-41009.8897	747502.9123	3491153.1103	16043205.9953	4.6969e+06
225	69635.9493	-41037.7625	747598.9493	3491125.2375	16043205.9953	4.6626e+06
226	69731.9864	-41065.6352	747694.9864	3491097.3648	16043205.9953	4.6285e+06
227	69828.0234	-41093.5079	747791.0234	3491069.4921	16043205.9953	4.5947e+06
228	69924.0604	-41121.3806	747887.0604	3491041.6194	16043205.9953	4.5611e+06
229	70020.0975	-41149.2534	747983.0975	3491013.7466	16043205.9953	4.5278e+06
230	70116.1345	-41177.1261	748079.1345	3490985.8739	16043205.9953	4.4948e+06
231	70212.1715	-41204.9988	748175.1715	3490958.0012	16043205.9953	4.4619e+06
232	70308.2086	-41232.8716	748271.2086	3490930.1284	16043205.9953	4.4294e+06
233	70404.2456	-41260.7443	748367.2456	3490902.2557	16043205.9953	4.3971e+06
234	70500.2826	-41288.6170	748463.2826	3490874.3830	16043205.9953	4.3650e+06
235	70596.3196	-41316.4897	748559.3196	3490846.5103	16043205.9953	4.3332e+06
236	70692.3567	-41344.3625	748655.3567	3490818.6375	16043205.9953	4.3016e+06
237	70788.3937	-41372.2352	748751.3937	3490790.7648	16043205.9953	4.2702e+06
238	70884.4307	-41400.1079	748847.4307	3490762.8921	16043205.9953	4.2391e+06
239	70980.4678	-41427.9807	748943.4678	3490735.0193	16043205.9953	4.2082e+06
240	71076.5048	-41455.8534	749039.5048	3490707.1466	16043205.9953	4.1776e+06
241	71172.5418	-41483.7261	749135.5418	3490679.2739	16043205.9953	4.1472e+06
242	71268.5788	-41511.5989	749231.5788	3490651.4011	16043205.9953	4.1170e+06
243	71364.6159	-41539.4716	749327.6159	3490623.5284	16043205.9953	4.0870e+06
244	71460.6529	-41567.3443	749423.6529	3490595.6557	16043205.9953	4.0573e+06
245	71556.6899	-41595.2170	749519.6899	3490567.7830	16043205.9953	4.0278e+06
246	71652.7270	-41623.0898	749615.7270	3490539.9102	16043205.9953	3.9985e+06
247	71748.7640	-41650.9625	749711.7640	3490512.0375	16043205.9953	3.9695e+06
248	71844.8010	-41678.8352	749807.8010	3490484.1648	16043205.9953	3.9406e+06
249	71940.8380	-41706.7080	749903.8380	3490456.2920	16043205.9953	3.9120e+06
250	72036.8751	-41734.5807	749999.8751	3490428.4193	16043205.9953	3.8836e+06
251	72132.9121	-41762.4534	750095.9121	3490400.5466	16043205.9953	3.8554e+06
252	72228.9491	-41790.3261	750191.9491	3490372.6739	16043205.9953	3.8274e+06
253	72324.9862	-41818.1989	750287.9862	3490344.8011	16043205.9953	3.7996e+06
254	72421.0232	-41846.0716	750384.0232	3490316.9284	16043205.9953	3.7721e+06
255	72517.0602	-41873.9443	750480.0602	3490289.0557	16043205.9953	3.7447e+06
256	72613.0973	-41901.8171	750576.0973	3490261.1829	16043205.9953	3.7176e+06
257	72709.1343	-41929.6898	750672.1343	3490233.3102	16043205.9953	3.6906e+06
258	72805.1713	-41957.5625	750768.1713	3490205.4375	16043205.9953	3.6639e+06
259	72901.2083	-41985.4353	750864.2083	3490177.5647	16043205.9953	3.6373e+06
260	72997.2454	-42013.3080	750960.2454	3490149.6920	16043205.9953	3.6110e+06
261	73093.2824	-42041.1807	751056.2824	3490121.8193	16043205.9953	3.5848e+06
262	73189.3194	-42069.0534	751152.3194	3490093.9466	16043205.9953	3.5589e+06
263	73285.3565	-42096.9262	751248.3565	3490066.0738	16043205.9953	3.5331e+06
264	73381.3935	-42124.7989	751344.3935	3490038.2011	16043205.9953	3.5076e+06
265	73477.4305	-42152.6716	751440.4305	3490010.3284	16043205.9953	3.4822e+06
266	73573.4675	-42180.5444	751536.4675	3489982.4556	16043205.9953	3.4570e+06
267	73669.5046	-42208.4171	751632.5046	3489954.5829	16043205.9953	3.4320e+06
268	73765.5416	-42236.2898	751728.5416	3489926.7102	16043205.9953	3.4072e+06
269	73861.5786	-42264.1625	751824.5786	3489898.8375	16043205.9953	3.3826e+06
270	73957.6157	-42292.0353	751920.6157	3489870.9647	16043205.9953	3.3582e+06
271	74053.6527	-42319.9080	752016.6527	3489843.0920	16043205.9953	3.3339e+06
272	74149.6897	-42347.7807	752112.6897	3489815.2193	16043205.9953	3.3098e+06
273	74245.7267	-42375.6535	752208.7267	3489787.3465	16043205.9953	3.2860e+06
274	74341.7638	-42403.5262	752304.7638	3489759.4738	16043205.9953	3.2623e+06
275	74437.8008	-42431.3989	752400.8008	3489731.6011	16043205.9953	3.2387e+06
276	74533.8378	-42459.2717	752496.8378	3489703.7283	16043205.9953	3.2154e+06
277	74629.8749	-42487.1444	752592.8749	3489675.8556	16043205.9953	3.1922e+06
278	74725.9119	-42515.0171	752688.9119	3489647.9829	16043205.9953	3.1692e+06
279	74821.9489	-42542.8898	752784.9489	3489620.1102	16043205.9953	3.1463e+06
280	74917.9859	-42570.7626	752880.9859	3489592.2374	16043205.9953	3.1237e+06
281	75014.0230	-42598.6353	752977.0230	3489564.3647	16043205.9953	3.1012e+06
282	75110.0600	-42626.5080	753073.0600	3489536.4920	16043205.9953	3.0788e+06
283	75206.0970	-42654.3808	753169.0970	3489508.6192	16043205.9953	3.0567e+06
284	75302.1341	-42682.2535	753265.1341	3489480.7465	16043205.9953	3.0347e+06
285	75398.1711	-42710.1262	753361.1711	3489452.8738	16043205.9953	3.0129e+06
286	75494.2081	-42737.9989	753457.2081	3489425.0011	16043205.9953	2.9912e+06
287	75590.2452	-42765.8717	753553.2452	3489397.1283	16043205.9953	2.9697e+06
288	75686.2822	-42793.7444	753649.2822	3489369.2556	16043205.9953	2.9483e+06
289	75782.3192	-42821.6171	753745.3192	3489341.3829	16043205.9953	2.9271e+06
290	75878.3562	-42849.4899	753841.3562	3489313.5101	16043205.9953	2.9061e+06
291	75974.3933	-42877.3626	753937.3933	3489285.6374	16043205.9953	2.8852e+06
292	76070.4303	-42905.2353	754033.4303	3489257.7647	16043205.9953	2.8645e+06
293	76166.4673	-42933.1081	754129.4673	3489229.8919	16043205.9953	2.8440e+06
294	76262.5044	-42960.9808	754225.5044	3489202.0192	16043205.9953	2.8236e+06
295	76358.5414	-42988.8535	754321.5414	3489174.1465	16043205.9953	2.8033e+06
296	76454.5784	-43016.7262	754417.5784	3489146.2738	16043205.9953	2.7832e+06
297	76550.6154	-43044.5990	754513.6154	3489118.4010	16043205.9953	2.7632e+06
298	76646.6525	-43072.4717	754609.6525	3489090.5283	16043205.9953	2.7434e+06
299	76742.6895	-43100.3444	754705.6895	3489062.6556	16043205.9953	2.7238e+06
300	76838.7265	-43128.2172	754801.7265	3489034.7828	16043205.9953	2.7042e+06
301	76934.7636	-43156.0899	754897.7636	3489006.9101	16043205.9953	2.6849e+06
302	77030.8006	-43183.9626	754993.8006	3488979.0374	16043205.9953	2.6656e+06
303	77126.8376	-43211.8354	755089.8376	3488951.1646	16043205.9953	2.6466e+06
304	77222.8746	-43239.7081	755185.8746	3488923.2919	16043205.9953	2.6276e+06
305	77318.9117	-43267.5808	755281.9117	3488895.4192	16043205.9953	2.6088e+06
306	77414.9487	-43295.4535	755377.9487	3488867.5465	16043205.9953	2.5901e+06
307	77510.9857	-43323.3263	755473.9857	3488839.6737	16043205.9953	2.5716e+06
308	77607.0228	-43351.1990	755570.0228	3488811.8010	16043205.9953	2.5532e+06
309	77703.0598	-43379.0717	755666.0598	3488783.9283	16043205.9953	2.5350e+06
310	77799.0968	-43406.9445	755762.0968	3488756.0555	16043205.9953	2.5169e+06
311	77895.1339	-43434.8172	755858.1339	3488728.1828	16043205.9953	2.4989e+06
312	77991.1709	-43462.6899	755954.1709	3488700.3101	16043205.9953	2.4810e+06
313	78087.2079	-43490.5626	756050.2079	3488672.4374	16043205.9953	2.4633e+06
314	78183.2449	-43518.4354	756146.2449	3488644.5646	16043205.9953	2.4457e+06
315	78279.2820	-43546.3081	756242.2820	3488616.6919	16043205.9953	2.4283e+06
316	78375.3190	-43574.1808	756338.3190	3488588.8192	16043205.9953	2.4110e+06
