i	x_from_vent	y_from_vent	x_coord	y_coord	sigma_square	mass_released
209	25797.3818	-11290.3781	703760.3818	3520872.6219	10034214.4053	2.2320e+03
210	25893.4189	-11318.2509	703856.4189	3520844.7491	10034214.4053	2.1476e+03
211	25989.4559	-11346.1236	703952.4559	3520816.8764	10034214.4053	2.0664e+03
212	26085.4929	-11373.9963	704048.4929	3520789.0037	10034214.4053	1.9883e+03
213	26181.5300	-11401.8690	704144.5300	3520761.1310	10034214.4053	1.9132e+03
214	26277.5670	-11429.7418	704240.5670	3520733.2582	10034214.4053	1.8409e+03
215	26373.6040	-11457.6145	704336.6040	3520705.3855	10034214.4053	1.7714e+03
216	26469.6410	-11485.4872	704432.6410	3520677.5128	10034214.4053	1.7044e+03
217	26565.6781	-11513.3600	704528.6781	3520649.6400	10034214.4053	1.6401e+03
218	26661.7151	-11541.2327	704624.7151	3520621.7673	10034214.4053	1.5781e+03
219	26757.7521	-11569.1054	704720.7521	3520593.8946	10034214.4053	1.5186e+03
220	26853.7892	-11596.9782	704816.7892	3520566.0218	10034214.4053	1.4612e+03
221	26949.8262	-11624.8509	704912.8262	3520538.1491	10034214.4053	1.4061e+03
222	27045.8632	-11652.7236	705008.8632	3520510.2764	10034214.4053	1.3530e+03
223	27141.9003	-11680.5963	705104.9003	3520482.4037	10034214.4053	1.3020e+03
224	27237.9373	-11708.4691	705200.9373	3520454.5309	10034214.4053	1.2528e+03
225	27333.9743	-11736.3418	705296.9743	3520426.6582	10034214.4053	1.2056e+03
226	27430.0113	-11764.2145	705393.0113	3520398.7855	10034214.4053	1.1601e+03
227	27526.0484	-11792.0873	705489.0484	3520370.9127	10034214.4053	1.1163e+03
228	27622.0854	-11819.9600	705585.0854	3520343.0400	10034214.4053	1.0743e+03
229	27718.1224	-11847.8327	705681.1224	3520315.1673	10034214.4053	1.0338e+03
230	27814.1595	-11875.7054	705777.1595	3520287.2946	10034214.4053	9.9479e+02
231	27910.1965	-11903.5782	705873.1965	3520259.4218	10034214.4053	9.5729e+02
232	28006.2335	-11931.4509	705969.2335	3520231.5491	10034214.4053	9.2122e+02
233	28102.2705	-11959.3236	706065.2705	3520203.6764	10034214.4053	8.8651e+02
234	28198.3076	-11987.1964	706161.3076	3520175.8036	10034214.4053	8.5311e+02
235	28294.3446	-12015.0691	706257.3446	3520147.9309	10034214.4053	8.2097e+02
236	28390.3816	-12042.9418	706353.3816	3520120.0582	10034214.4053	7.9005e+02
237	28486.4187	-12070.8146	706449.4187	3520092.1854	10034214.4053	7.6030e+02
238	28582.4557	-12098.6873	706545.4557	3520064.3127	10034214.4053	7.3167e+02
239	28678.4927	-12126.5600	706641.4927	3520036.4400	10034214.4053	7.0412e+02
240	28774.5297	-12154.4327	706737.5297	3520008.5673	10034214.4053	6.7762e+02
241	28870.5668	-12182.3055	706833.5668	3519980.6945	10034214.4053	6.5211e+02
242	28966.6038	-12210.1782	706929.6038	3519952.8218	10034214.4053	6.2757e+02
243	29062.6408	-12238.0509	707025.6408	3519924.9491	10034214.4053	6.0396e+02
244	29158.6779	-12265.9237	707121.6779	3519897.0763	10034214.4053	5.8124e+02
245	29254.7149	-12293.7964	707217.7149	3519869.2036	10034214.4053	5.5937e+02
246	29350.7519	-12321.6691	707313.7519	3519841.3309	10034214.4053	5.3833e+02
247	29446.7889	-12349.5418	707409.7889	3519813.4582	10034214.4053	5.1809e+02
248	29542.8260	-12377.4146	707505.8260	3519785.5854	10034214.4053	4.9861e+02
249	29638.8630	-12405.2873	707601.8630	3519757.7127	10034214.4053	4.7986e+02
250	29734.9000	-12433.1600	707697.9000	3519729.8400	10034214.4053	4.6182e+02
251	29830.9371	-12461.0328	707793.9371	3519701.9672	10034214.4053	4.4446e+02
252	29926.9741	-12488.9055	707889.9741	3519674.0945	10034214.4053	4.2776e+02
253	30023.0111	-12516.7782	707986.0111	3519646.2218	10034214.4053	4.1168e+02
254	30119.0482	-12544.6510	708082.0482	3519618.3490	10034214.4053	3.9622e+02
255	30215.0852	-12572.5237	708178.0852	3519590.4763	10034214.4053	3.8133e+02
256	30311.1222	-12600.3964	708274.1222	3519562.6036	10034214.4053	3.6701e+02
