i	x_from_vent	y_from_vent	x_coord	y_coord	sigma_square	mass_released
214	124148.4702	-78196.1650	802111.4702	3453966.8350	508280354.9763	2.2608e+06
215	124244.5072	-78224.0377	802207.5072	3453938.9623	508280354.9763	2.2518e+06
216	124340.5443	-78251.9104	802303.5443	3453911.0896	508280354.9763	2.2429e+06
217	124436.5813	-78279.7832	802399.5813	3453883.2168	508280354.9763	2.2340e+06
218	124532.6183	-78307.6559	802495.6183	3453855.3441	508280354.9763	2.2251e+06
219	124628.6554	-78335.5286	802591.6554	3453827.4714	508280354.9763	2.2163e+06
220	124724.6924	-78363.4013	802687.6924	3453799.5987	508280354.9763	2.2075e+06
221	124820.7294	-78391.2741	802783.7294	3453771.7259	508280354.9763	2.1988e+06
222	124916.7664	-78419.1468	802879.7664	3453743.8532	508280354.9763	2.1901e+06
223	125012.8035	-78447.0195	802975.8035	3453715.9805	508280354.9763	2.1814e+06
224	125108.8405	-78474.8923	803071.8405	3453688.1077	508280354.9763	2.1727e+06
225	125204.8775	-78502.7650	803167.8775	3453660.2350	508280354.9763	2.1641e+06
226	125300.9146	-78530.6377	803263.9146	3453632.3623	508280354.9763	2.1555e+06
227	125396.9516	-78558.5105	803359.9516	3453604.4895	508280354.9763	2.1470e+06
228	125492.9886	-78586.3832	803455.9886	3453576.6168	508280354.9763	2.1385e+06
229	125589.0256	-78614.2559	803552.0256	3453548.7441	508280354.9763	2.1300e+06
230	125685.0627	-78642.1286	803648.0627	3453520.8714	508280354.9763	2.1216e+06
231	125781.0997	-78670.0014	803744.0997	3453492.9986	508280354.9763	2.1132e+06
232	125877.1367	-78697.8741	803840.1367	3453465.1259	508280354.9763	2.1048e+06
233	125973.1738	-78725.7468	803936.1738	3453437.2532	508280354.9763	2.0965e+06
234	126069.2108	-78753.6196	804032.2108	3453409.3804	508280354.9763	2.0882e+06
235	126165.2478	-78781.4923	804128.2478	3453381.5077	508280354.9763	2.0799e+06
236	126261.2848	-78809.3650	804224.2848	3453353.6350	508280354.9763	2.0717e+06
237	126357.3219	-78837.2377	804320.3219	3453325.7623	508280354.9763	2.0635e+06
238	126453.3589	-78865.1105	804416.3589	3453297.8895	508280354.9763	2.0553e+06
239	126549.3959	-78892.9832	804512.3959	3453270.0168	508280354.9763	2.0472e+06
240	126645.4330	-78920.8559	804608.4330	3453242.1441	508280354.9763	2.0391e+06
241	126741.4700	-78948.7287	804704.4700	3453214.2713	508280354.9763	2.0310e+06
242	126837.5070	-78976.6014	804800.5070	3453186.3986	508280354.9763	2.0230e+06
243	126933.5440	-79004.4741	804896.5440	3453158.5259	508280354.9763	2.0150e+06
244	127029.5811	-79032.3469	804992.5811	3453130.6531	508280354.9763	2.0070e+06
245	127125.6181	-79060.2196	805088.6181	3453102.7804	508280354.9763	1.9991e+06
246	127221.6551	-79088.0923	805184.6551	3453074.9077	508280354.9763	1.9912e+06
247	127317.6922	-79115.9650	805280.6922	3453047.0350	508280354.9763	1.9833e+06
248	127413.7292	-79143.8378	805376.7292	3453019.1622	508280354.9763	1.9754e+06
249	127509.7662	-79171.7105	805472.7662	3452991.2895	508280354.9763	1.9676e+06
250	127605.8033	-79199.5832	805568.8033	3452963.4168	508280354.9763	1.9599e+06
251	127701.8403	-79227.4560	805664.8403	3452935.5440	508280354.9763	1.9521e+06
252	127797.8773	-79255.3287	805760.8773	3452907.6713	508280354.9763	1.9444e+06
253	127893.9143	-79283.2014	805856.9143	3452879.7986	508280354.9763	1.9367e+06
254	127989.9514	-79311.0741	805952.9514	3452851.9259	508280354.9763	1.9291e+06
255	128085.9884	-79338.9469	806048.9884	3452824.0531	508280354.9763	1.9215e+06
256	128182.0254	-79366.8196	806145.0254	3452796.1804	508280354.9763	1.9139e+06
257	128278.0625	-79394.6923	806241.0625	3452768.3077	508280354.9763	1.9063e+06
258	128374.0995	-79422.5651	806337.0995	3452740.4349	508280354.9763	1.8988e+06
259	128470.1365	-79450.4378	806433.1365	3452712.5622	508280354.9763	1.8913e+06
260	128566.1735	-79478.3105	806529.1735	3452684.6895	508280354.9763	1.8838e+06
261	128662.2106	-79506.1833	806625.2106	3452656.8167	508280354.9763	1.8764e+06
262	128758.2476	-79534.0560	806721.2476	3452628.9440	508280354.9763	1.8690e+06
263	128854.2846	-79561.9287	806817.2846	3452601.0713	508280354.9763	1.8616e+06
264	128950.3217	-79589.8014	806913.3217	3452573.1986	508280354.9763	1.8543e+06
265	129046.3587	-79617.6742	807009.3587	3452545.3258	508280354.9763	1.8470e+06
266	129142.3957	-79645.5469	807105.3957	3452517.4531	508280354.9763	1.8397e+06
267	129238.4327	-79673.4196	807201.4327	3452489.5804	508280354.9763	1.8324e+06
268	129334.4698	-79701.2924	807297.4698	3452461.7076	508280354.9763	1.8252e+06
269	129430.5068	-79729.1651	807393.5068	3452433.8349	508280354.9763	1.8180e+06
270	129526.5438	-79757.0378	807489.5438	3452405.9622	508280354.9763	1.8108e+06
271	129622.5809	-79784.9105	807585.5809	3452378.0895	508280354.9763	1.8037e+06
272	129718.6179	-79812.7833	807681.6179	3452350.2167	508280354.9763	1.7966e+06
273	129814.6549	-79840.6560	807777.6549	3452322.3440	508280354.9763	1.7895e+06
274	129910.6919	-79868.5287	807873.6919	3452294.4713	508280354.9763	1.7825e+06
275	130006.7290	-79896.4015	807969.7290	3452266.5985	508280354.9763	1.7754e+06
276	130102.7660	-79924.2742	808065.7660	3452238.7258	508280354.9763	1.7685e+06
277	130198.8030	-79952.1469	808161.8030	3452210.8531	508280354.9763	1.7615e+06
278	130294.8401	-79980.0197	808257.8401	3452182.9803	508280354.9763	1.7546e+06
279	130390.8771	-80007.8924	808353.8771	3452155.1076	508280354.9763	1.7476e+06
280	130486.9141	-80035.7651	808449.9141	3452127.2349	508280354.9763	1.7408e+06
281	130582.9512	-80063.6378	808545.9512	3452099.3622	508280354.9763	1.7339e+06
282	130678.9882	-80091.5106	808641.9882	3452071.4894	508280354.9763	1.7271e+06
283	130775.0252	-80119.3833	808738.0252	3452043.6167	508280354.9763	1.7203e+06
284	130871.0622	-80147.2560	808834.0622	3452015.7440	508280354.9763	1.7135e+06
285	130967.0993	-80175.1288	808930.0993	3451987.8712	508280354.9763	1.7068e+06
286	131063.1363	-80203.0015	809026.1363	3451959.9985	508280354.9763	1.7001e+06
287	131159.1733	-80230.8742	809122.1733	3451932.1258	508280354.9763	1.6934e+06
288	131255.2104	-80258.7470	809218.2104	3451904.2530	508280354.9763	1.6867e+06
289	131351.2474	-80286.6197	809314.2474	3451876.3803	508280354.9763	1.6801e+06
290	131447.2844	-80314.4924	809410.2844	3451848.5076	508280354.9763	1.6735e+06
291	131543.3214	-80342.3651	809506.3214	3451820.6349	508280354.9763	1.6669e+06
292	131639.3585	-80370.2379	809602.3585	3451792.7621	508280354.9763	1.6604e+06
293	131735.3955	-80398.1106	809698.3955	3451764.8894	508280354.9763	1.6538e+06
294	131831.4325	-80425.9833	809794.4325	3451737.0167	508280354.9763	1.6473e+06
295	131927.4696	-80453.8561	809890.4696	3451709.1439	508280354.9763	1.6409e+06
296	132023.5066	-80481.7288	809986.5066	3451681.2712	508280354.9763	1.6344e+06
297	132119.5436	-80509.6015	810082.5436	3451653.3985	508280354.9763	1.6280e+06
298	132215.5806	-80537.4742	810178.5806	3451625.5258	508280354.9763	1.6216e+06
299	132311.6177	-80565.3470	810274.6177	3451597.6530	508280354.9763	1.6152e+06
300	132407.6547	-80593.2197	810370.6547	3451569.7803	508280354.9763	1.6089e+06
301	132503.6917	-80621.0924	810466.6917	3451541.9076	508280354.9763	1.6026e+06
302	132599.7288	-80648.9652	810562.7288	3451514.0348	508280354.9763	1.5963e+06
303	132695.7658	-80676.8379	810658.7658	3451486.1621	508280354.9763	1.5900e+06
304	132791.8028	-80704.7106	810754.8028	3451458.2894	508280354.9763	1.5838e+06
305	132887.8399	-80732.5834	810850.8399	3451430.4166	508280354.9763	1.5776e+06
306	132983.8769	-80760.4561	810946.8769	3451402.5439	508280354.9763	1.5714e+06
307	133079.9139	-80788.3288	811042.9139	3451374.6712	508280354.9763	1.5652e+06
308	133175.9509	-80816.2015	811138.9509	3451346.7985	508280354.9763	1.5591e+06
309	133271.9880	-80844.0743	811234.9880	3451318.9257	508280354.9763	1.5530e+06
310	133368.0250	-80871.9470	811331.0250	3451291.0530	508280354.9763	1.5469e+06
311	133464.0620	-80899.8197	811427.0620	3451263.1803	508280354.9763	1.5408e+06
312	133560.0991	-80927.6925	811523.0991	3451235.3075	508280354.9763	1.5348e+06
313	133656.1361	-80955.5652	811619.1361	3451207.4348	508280354.9763	1.5287e+06
314	133752.1731	-80983.4379	811715.1731	3451179.5621	508280354.9763	1.5228e+06
315	133848.2101	-81011.3106	811811.2101	3451151.6894	508280354.9763	1.5168e+06
316	133944.2472	-81039.1834	811907.2472	3451123.8166	508280354.9763	1.5108e+06
317	134040.2842	-81067.0561	812003.2842	3451095.9439	508280354.9763	1.5049e+06
318	134136.3212	-81094.9288	812099.3212	3451068.0712	508280354.9763	1.4990e+06
319	134232.3583	-81122.8016	812195.3583	3451040.1984	508280354.9763	1.4932e+06
320	134328.3953	-81150.6743	812291.3953	3451012.3257	508280354.9763	1.4873e+06
321	134424.4323	-81178.5470	812387.4323	3450984.4530	508280354.9763	1.4815e+06
