s	phi4.0	phi3.9	phi3.8	phi3.7	phi3.6	phi3.5	phi3.4	phi3.3	phi3.2	phi3.1
861	1836.4189	2611.4491	3635.0087	4944.3412	6559.1290	8467.3756	10609.6811	12865.5084	15047.0952	16907.9467
862	1835.3220	2609.6573	3632.1440	4939.8654	6552.3090	8457.2632	10595.1273	12845.2379	15019.8655	16872.8045
863	1834.2257	2607.8668	3629.2815	4935.3937	6545.4962	8447.1629	10580.5935	12824.9995	14992.6850	16837.7353
864	1833.1301	2606.0775	3626.4213	4930.9261	6538.6904	8437.0746	10566.0796	12804.7929	14965.5537	16802.7390
865	1832.0351	2604.2895	3623.5634	4926.4625	6531.8917	8426.9983	10551.5856	12784.6181	14938.4716	16767.8155
866	1830.9408	2602.5027	3620.7077	4922.0029	6525.1001	8416.9341	10537.1115	12764.4752	14911.4384	16732.9645
867	1829.8471	2600.7171	3617.8542	4917.5474	6518.3156	8406.8819	10522.6572	12744.3639	14884.4541	16698.1860
868	1828.7541	2598.9327	3615.0030	4913.0959	6511.5381	8396.8418	10508.2228	12724.2844	14857.5187	16663.4798
869	1827.6618	2597.1495	3612.1541	4908.6484	6504.7676	8386.8136	10493.8082	12704.2365	14830.6321	16628.8457
870	1826.5701	2595.3676	3609.3074	4904.2050	6498.0042	8376.7974	10479.4133	12684.2202	14803.7940	16594.2835
871	1825.4790	2593.5869	3606.4629	4899.7655	6491.2478	8366.7931	10465.0382	12664.2354	14777.0046	16559.7932
872	1824.3887	2591.8074	3603.6207	4895.3301	6484.4985	8356.8008	10450.6828	12644.2821	14750.2636	16525.3746
873	1823.2989	2590.0292	3600.7807	4890.8988	6477.7561	8346.8204	10436.3471	12624.3602	14723.5710	16491.0276
874	1822.2098	2588.2521	3597.9429	4886.4714	6471.0208	8336.8520	10422.0311	12604.4697	14696.9268	16456.7519
875	1821.1214	2586.4763	3595.1074	4882.0480	6464.2925	8326.8954	10407.7347	12584.6106	14670.3307	16422.5475
876	1820.0336	2584.7017	3592.2742	4877.6287	6457.5712	8316.9508	10393.4580	12564.7828	14643.7828	16388.4141
877	1818.9464	2582.9283	3589.4431	4873.2133	6450.8568	8307.0180	10379.2008	12544.9862	14617.2829	16354.3517
878	1817.8600	2581.1561	3586.6143	4868.8019	6444.1495	8297.0971	10364.9631	12525.2208	14590.8309	16320.3601
879	1816.7741	2579.3852	3583.7877	4864.3946	6437.4491	8287.1880	10350.7450	12505.4865	14564.4269	16286.4392
880	1815.6889	2577.6154	3580.9634	4859.9912	6430.7556	8277.2908	10336.5464	12485.7833	14538.0706	16252.5887
881	1814.6044	2575.8469	3578.1412	4855.5918	6424.0692	8267.4054	10322.3673	12466.1112	14511.7620	16218.8086
882	1813.5205	2574.0796	3575.3213	4851.1964	6417.3897	8257.5318	10308.2076	12446.4700	14485.5010	16185.0987
883	1812.4372	2572.3135	3572.5037	4846.8050	6410.7171	8247.6700	10294.0674	12426.8598	14459.2876	16151.4589
884	1811.3546	2570.5486	3569.6882	4842.4175	6404.0515	8237.8199	10279.9465	12407.2805	14433.1216	16117.8890
885	1810.2727	2568.7849	3566.8750	4838.0340	6397.3928	8227.9817	10265.8450	12387.7321	14407.0029	16084.3889
