i	x	y	z	R
322	1729.2775	-1178.4080	3566.5889	1995.5649
323	1737.5041	-1181.9437	3571.0411	2000.2229
324	1745.7388	-1185.4767	3575.4805	2004.8686
325	1753.9816	-1189.0070	3579.9070	2009.5023
326	1762.2324	-1192.5345	3584.3207	2014.1239
327	1770.4911	-1196.0593	3588.7216	2018.7333
328	1778.7579	-1199.5814	3593.1097	2023.3306
329	1787.0326	-1203.1007	3597.4852	2027.9158
330	1795.3151	-1206.6173	3601.8478	2032.4890
331	1803.6055	-1210.1311	3606.1978	2037.0500
332	1811.9037	-1213.6422	3610.5352	2041.5989
333	1820.2096	-1217.1505	3614.8599	2046.1357
334	1828.5233	-1220.6560	3619.1720	2050.6605
335	1836.8447	-1224.1588	3623.4714	2055.1732
336	1845.1737	-1227.6587	3627.7584	2059.6738
337	1853.5104	-1231.1559	3632.0327	2064.1623
338	1861.8546	-1234.6502	3636.2946	2068.6388
339	1870.2064	-1238.1418	3640.5439	2073.1033
340	1878.5657	-1241.6305	3644.7808	2077.5556
341	1886.9324	-1245.1164	3649.0052	2081.9960
342	1895.3066	-1248.5995	3653.2172	2086.4243
343	1903.6882	-1252.0798	3657.4168	2090.8406
344	1912.0772	-1255.5572	3661.6040	2095.2449
345	1920.4735	-1259.0318	3665.7789	2099.6371
346	1928.8770	-1262.5036	3669.9414	2104.0174
347	1937.2879	-1265.9725	3674.0916	2108.3856
348	1945.7060	-1269.4386	3678.2295	2112.7419
349	1954.1312	-1272.9018	3682.3552	2117.0862
350	1962.5636	-1276.3622	3686.4686	2121.4185
351	1971.0032	-1279.8197	3690.5698	2125.7388
352	1979.4498	-1283.2744	3694.6588	2130.0472
353	1987.9035	-1286.7261	3698.7356	2134.3436
354	1996.3642	-1290.1750	3702.8003	2138.6280
355	2004.8319	-1293.6211	3706.8528	2142.9006
356	2013.3065	-1297.0642	3710.8933	2147.1612
357	2021.7881	-1300.5045	3714.9216	2151.4098
358	2030.2765	-1303.9419	3718.9379	2155.6466
359	2038.7718	-1307.3764	3722.9422	2159.8714
360	2047.2739	-1310.8080	3726.9344	2164.0844
361	2055.7828	-1314.2367	3730.9147	2168.2855
362	2064.2985	-1317.6625	3734.8830	2172.4747
363	2072.8209	-1321.0854	3738.8393	2176.6520
364	2081.3500	-1324.5055	3742.7837	2180.8174
365	2089.8857	-1327.9226	3746.7161	2184.9718
366	2098.4281	-1331.3368	3750.6367	2189.1167
367	2106.9771	-1334.7481	3754.5454	2193.2522
368	2115.5326	-1338.1566	3758.4422	2197.3782
369	2124.0947	-1341.5621	3762.3272	2201.4947
370	2132.6634	-1344.9647	3766.2003	2205.6016
371	2141.2385	-1348.3644	3770.0615	2209.6990
372	2149.8201	-1351.7612	3773.9109	2213.7869
373	2158.4081	-1355.1551	3777.7486	2217.8651
374	2167.0025	-1358.5461	3781.5744	2221.9338
375	2175.6034	-1361.9342	3785.3884	2225.9928
376	2184.2105	-1365.3194	3789.1906	2230.0423
377	2192.8240	-1368.7017	3792.9811	2234.0821
378	2201.4438	-1372.0810	3796.7599	2238.1122
379	2210.0699	-1375.4575	3800.5269	2242.1327
380	2218.7022	-1378.8311	3804.2822	2246.1434
381	2227.3407	-1382.2018	3808.0258	2250.1445
382	2235.9854	-1385.5695	3811.7576	2254.1358
383	2244.6363	-1388.9344	3815.4779	2258.1175
384	2253.2933	-1392.2964	3819.1864	2262.0894
385	2261.9565	-1395.6555	3822.8833	2266.0515
386	2270.6257	-1399.0116	3826.5685	2270.0038
387	2279.3009	-1402.3649	3830.2421	2273.9464
388	2287.9822	-1405.7153	3833.9041	2277.8792
389	2296.6695	-1409.0628	3837.5545	2281.8022
390	2305.3627	-1412.4073	3841.1933	2285.7154
391	2314.0619	-1415.7490	3844.8206	2289.6187
392	2322.7671	-1419.0878	3848.4363	2293.5122
393	2331.4781	-1422.4238	3852.0404	2297.3959
394	2340.1950	-1425.7568	3855.6330	2301.2696
395	2348.9177	-1429.0869	3859.2141	2305.1336
396	2357.6463	-1432.4142	3862.7837	2308.9876
397	2366.3806	-1435.7385	3866.3418	2312.8318
398	2375.1207	-1439.0600	3869.8885	2316.6660
399	2383.8665	-1442.3786	3873.4236	2320.4904
400	2392.6180	-1445.6943	3876.9473	2324.3048
401	2401.3753	-1449.0072	3880.4596	2328.1093
402	2410.1381	-1452.3171	3883.9605	2331.9039
403	2418.9066	-1455.6242	3887.4500	2335.6885
404	2427.6808	-1458.9284	3890.9280	2339.4632
405	2436.4605	-1462.2298	3894.3947	2343.2279
406	2445.2457	-1465.5282	3897.8501	2346.9826
