i	x	y	z	R
296	26887.7119	-8638.7388	4449.4779	2997.8611
297	26983.7489	-8666.6116	4449.4779	2997.8611
298	27079.7859	-8694.4843	4449.4779	2997.8611
299	27175.8229	-8722.3570	4449.4779	2997.8611
300	27271.8600	-8750.2298	4449.4779	2997.8611
301	27367.8970	-8778.1025	4449.4779	2997.8611
302	27463.9340	-8805.9752	4449.4779	2997.8611
303	27559.9711	-8833.8479	4449.4779	2997.8611
304	27656.0081	-8861.7207	4449.4779	2997.8611
305	27752.0451	-8889.5934	4449.4779	2997.8611
306	27848.0821	-8917.4661	4449.4779	2997.8611
307	27944.1192	-8945.3389	4449.4779	2997.8611
308	28040.1562	-8973.2116	4449.4779	2997.8611
309	28136.1932	-9001.0843	4449.4779	2997.8611
310	28232.2303	-9028.9571	4449.4779	2997.8611
311	28328.2673	-9056.8298	4449.4779	2997.8611
312	28424.3043	-9084.7025	4449.4779	2997.8611
313	28520.3413	-9112.5752	4449.4779	2997.8611
314	28616.3784	-9140.4480	4449.4779	2997.8611
315	28712.4154	-9168.3207	4449.4779	2997.8611
316	28808.4524	-9196.1934	4449.4779	2997.8611
317	28904.4895	-9224.0662	4449.4779	2997.8611
318	29000.5265	-9251.9389	4449.4779	2997.8611
319	29096.5635	-9279.8116	4449.4779	2997.8611
320	29192.6006	-9307.6843	4449.4779	2997.8611
321	29288.6376	-9335.5571	4449.4779	2997.8611
322	29384.6746	-9363.4298	4449.4779	2997.8611
323	29480.7116	-9391.3025	4449.4779	2997.8611
324	29576.7487	-9419.1753	4449.4779	2997.8611
325	29672.7857	-9447.0480	4449.4779	2997.8611
326	29768.8227	-9474.9207	4449.4779	2997.8611
327	29864.8598	-9502.7935	4449.4779	2997.8611
328	29960.8968	-9530.6662	4449.4779	2997.8611
329	30056.9338	-9558.5389	4449.4779	2997.8611
330	30152.9708	-9586.4116	4449.4779	2997.8611
331	30249.0079	-9614.2844	4449.4779	2997.8611
332	30345.0449	-9642.1571	4449.4779	2997.8611
333	30441.0819	-9670.0298	4449.4779	2997.8611
334	30537.1190	-9697.9026	4449.4779	2997.8611
335	30633.1560	-9725.7753	4449.4779	2997.8611
336	30729.1930	-9753.6480	4449.4779	2997.8611
337	30825.2300	-9781.5207	4449.4779	2997.8611
338	30921.2671	-9809.3935	4449.4779	2997.8611
339	31017.3041	-9837.2662	4449.4779	2997.8611
340	31113.3411	-9865.1389	4449.4779	2997.8611
341	31209.3782	-9893.0117	4449.4779	2997.8611
342	31305.4152	-9920.8844	4449.4779	2997.8611
343	31401.4522	-9948.7571	4449.4779	2997.8611
344	31497.4892	-9976.6299	4449.4779	2997.8611
345	31593.5263	-10004.5026	4449.4779	2997.8611
346	31689.5633	-10032.3753	4449.4779	2997.8611
347	31785.6003	-10060.2480	4449.4779	2997.8611
348	31881.6374	-10088.1208	4449.4779	2997.8611
349	31977.6744	-10115.9935	4449.4779	2997.8611
350	32073.7114	-10143.8662	4449.4779	2997.8611
351	32169.7485	-10171.7390	4449.4779	2997.8611
352	32265.7855	-10199.6117	4449.4779	2997.8611
353	32361.8225	-10227.4844	4449.4779	2997.8611
354	32457.8595	-10255.3571	4449.4779	2997.8611
355	32553.8966	-10283.2299	4449.4779	2997.8611
356	32649.9336	-10311.1026	4449.4779	2997.8611
357	32745.9706	-10338.9753	4449.4779	2997.8611
358	32842.0077	-10366.8481	4449.4779	2997.8611
359	32938.0447	-10394.7208	4449.4779	2997.8611
360	33034.0817	-10422.5935	4449.4779	2997.8611
361	33130.1187	-10450.4663	4449.4779	2997.8611
362	33226.1558	-10478.3390	4449.4779	2997.8611
363	33322.1928	-10506.2117	4449.4779	2997.8611
364	33418.2298	-10534.0844	4449.4779	2997.8611
365	33514.2669	-10561.9572	4449.4779	2997.8611
366	33610.3039	-10589.8299	4449.4779	2997.8611
367	33706.3409	-10617.7026	4449.4779	2997.8611
368	33802.3779	-10645.5754	4449.4779	2997.8611
369	33898.4150	-10673.4481	4449.4779	2997.8611
370	33994.4520	-10701.3208	4449.4779	2997.8611
371	34090.4890	-10729.1935	4449.4779	2997.8611
372	34186.5261	-10757.0663	4449.4779	2997.8611
373	34282.5631	-10784.9390	4449.4779	2997.8611
374	34378.6001	-10812.8117	4449.4779	2997.8611
375	34474.6372	-10840.6845	4449.4779	2997.8611
376	34570.6742	-10868.5572	4449.4779	2997.8611
377	34666.7112	-10896.4299	4449.4779	2997.8611
378	34762.7482	-10924.3027	4449.4779	2997.8611
379	34858.7853	-10952.1754	4449.4779	2997.8611
380	34954.8223	-10980.0481	4449.4779	2997.8611
381	35050.8593	-11007.9208	4449.4779	2997.8611
382	35146.8964	-11035.7936	4449.4779	2997.8611
383	35242.9334	-11063.6663	4449.4779	2997.8611
384	35338.9704	-11091.5390	4449.4779	2997.8611
385	35435.0074	-11119.4118	4449.4779	2997.8611
386	35531.0445	-11147.2845	4449.4779	2997.8611
387	35627.0815	-11175.1572	4449.4779	2997.8611
388	35723.1185	-11203.0299	4449.4779	2997.8611
389	35819.1556	-11230.9027	4449.4779	2997.8611
