i	x_from_vent	y_from_vent	x_coord	y_coord	sigma_square	mass_released
207	30732.1329	-14752.5628	708695.1329	3517410.4372	10751179.9985	1.8309e+05
208	30828.1699	-14780.4355	708791.1699	3517382.5645	10751179.9985	1.7877e+05
209	30924.2070	-14808.3082	708887.2070	3517354.6918	10751179.9985	1.7455e+05
210	31020.2440	-14836.1810	708983.2440	3517326.8190	10751179.9985	1.7043e+05
211	31116.2810	-14864.0537	709079.2810	3517298.9463	10751179.9985	1.6641e+05
212	31212.3181	-14891.9264	709175.3181	3517271.0736	10751179.9985	1.6249e+05
213	31308.3551	-14919.7991	709271.3551	3517243.2009	10751179.9985	1.5867e+05
214	31404.3921	-14947.6719	709367.3921	3517215.3281	10751179.9985	1.5493e+05
215	31500.4291	-14975.5446	709463.4291	3517187.4554	10751179.9985	1.5129e+05
216	31596.4662	-15003.4173	709559.4662	3517159.5827	10751179.9985	1.4773e+05
217	31692.5032	-15031.2901	709655.5032	3517131.7099	10751179.9985	1.4426e+05
218	31788.5402	-15059.1628	709751.5402	3517103.8372	10751179.9985	1.4087e+05
219	31884.5773	-15087.0355	709847.5773	3517075.9645	10751179.9985	1.3756e+05
220	31980.6143	-15114.9083	709943.6143	3517048.0917	10751179.9985	1.3433e+05
221	32076.6513	-15142.7810	710039.6513	3517020.2190	10751179.9985	1.3118e+05
222	32172.6883	-15170.6537	710135.6883	3516992.3463	10751179.9985	1.2810e+05
223	32268.7254	-15198.5264	710231.7254	3516964.4736	10751179.9985	1.2510e+05
224	32364.7624	-15226.3992	710327.7624	3516936.6008	10751179.9985	1.2216e+05
225	32460.7994	-15254.2719	710423.7994	3516908.7281	10751179.9985	1.1930e+05
226	32556.8365	-15282.1446	710519.8365	3516880.8554	10751179.9985	1.1651e+05
227	32652.8735	-15310.0174	710615.8735	3516852.9826	10751179.9985	1.1378e+05
228	32748.9105	-15337.8901	710711.9105	3516825.1099	10751179.9985	1.1112e+05
229	32844.9475	-15365.7628	710807.9475	3516797.2372	10751179.9985	1.0852e+05
230	32940.9846	-15393.6355	710903.9846	3516769.3645	10751179.9985	1.0598e+05
231	33037.0216	-15421.5083	711000.0216	3516741.4917	10751179.9985	1.0351e+05
232	33133.0586	-15449.3810	711096.0586	3516713.6190	10751179.9985	1.0109e+05
233	33229.0957	-15477.2537	711192.0957	3516685.7463	10751179.9985	9.8730e+04
234	33325.1327	-15505.1265	711288.1327	3516657.8735	10751179.9985	9.6426e+04
235	33421.1697	-15532.9992	711384.1697	3516630.0008	10751179.9985	9.4177e+04
236	33517.2067	-15560.8719	711480.2067	3516602.1281	10751179.9985	9.1981e+04
237	33613.2438	-15588.7447	711576.2438	3516574.2553	10751179.9985	8.9837e+04
238	33709.2808	-15616.6174	711672.2808	3516546.3826	10751179.9985	8.7744e+04
239	33805.3178	-15644.4901	711768.3178	3516518.5099	10751179.9985	8.5700e+04
240	33901.3549	-15672.3628	711864.3549	3516490.6372	10751179.9985	8.3705e+04
241	33997.3919	-15700.2356	711960.3919	3516462.7644	10751179.9985	8.1757e+04
242	34093.4289	-15728.1083	712056.4289	3516434.8917	10751179.9985	7.9856e+04
243	34189.4660	-15755.9810	712152.4660	3516407.0190	10751179.9985	7.7999e+04
244	34285.5030	-15783.8538	712248.5030	3516379.1462	10751179.9985	7.6186e+04
245	34381.5400	-15811.7265	712344.5400	3516351.2735	10751179.9985	7.4416e+04
246	34477.5770	-15839.5992	712440.5770	3516323.4008	10751179.9985	7.2688e+04
247	34573.6141	-15867.4719	712536.6141	3516295.5281	10751179.9985	7.1000e+04
248	34669.6511	-15895.3447	712632.6511	3516267.6553	10751179.9985	6.9353e+04
249	34765.6881	-15923.2174	712728.6881	3516239.7826	10751179.9985	6.7744e+04
250	34861.7252	-15951.0901	712824.7252	3516211.9099	10751179.9985	6.6173e+04
251	34957.7622	-15978.9629	712920.7622	3516184.0371	10751179.9985	6.4639e+04
252	35053.7992	-16006.8356	713016.7992	3516156.1644	10751179.9985	6.3142e+04
253	35149.8362	-16034.7083	713112.8362	3516128.2917	10751179.9985	6.1679e+04
254	35245.8733	-16062.5811	713208.8733	3516100.4189	10751179.9985	6.0251e+04
255	35341.9103	-16090.4538	713304.9103	3516072.5462	10751179.9985	5.8857e+04
256	35437.9473	-16118.3265	713400.9473	3516044.6735	10751179.9985	5.7495e+04
257	35533.9844	-16146.1992	713496.9844	3516016.8008	10751179.9985	5.6165e+04
258	35630.0214	-16174.0720	713593.0214	3515988.9280	10751179.9985	5.4867e+04
259	35726.0584	-16201.9447	713689.0584	3515961.0553	10751179.9985	5.3599e+04
260	35822.0954	-16229.8174	713785.0954	3515933.1826	10751179.9985	5.2361e+04
261	35918.1325	-16257.6902	713881.1325	3515905.3098	10751179.9985	5.1152e+04
262	36014.1695	-16285.5629	713977.1695	3515877.4371	10751179.9985	4.9971e+04
263	36110.2065	-16313.4356	714073.2065	3515849.5644	10751179.9985	4.8818e+04
264	36206.2436	-16341.3083	714169.2436	3515821.6917	10751179.9985	4.7692e+04
265	36302.2806	-16369.1811	714265.2806	3515793.8189	10751179.9985	4.6592e+04
266	36398.3176	-16397.0538	714361.3176	3515765.9462	10751179.9985	4.5518e+04
267	36494.3547	-16424.9265	714457.3547	3515738.0735	10751179.9985	4.4469e+04
268	36590.3917	-16452.7993	714553.3917	3515710.2007	10751179.9985	4.3445e+04
269	36686.4287	-16480.6720	714649.4287	3515682.3280	10751179.9985	4.2444e+04
270	36782.4657	-16508.5447	714745.4657	3515654.4553	10751179.9985	4.1467e+04
271	36878.5028	-16536.4175	714841.5028	3515626.5825	10751179.9985	4.0513e+04
