s	phi-4.0	phi-4.1	phi-4.2	phi-4.3	phi-4.4	phi-4.5	phi-4.6	phi-4.7	phi-4.8	phi-4.9
129	0.6677	0.3736	0.2048	0.1099	0.0577	0.0296	0.0149	0.0073	0.0035	0.0016
130	0.5968	0.3326	0.1816	0.0970	0.0507	0.0259	0.0129	0.0063	0.0030	0.0014
131	0.5334	0.2961	0.1610	0.0857	0.0446	0.0227	0.0113	0.0055	0.0026	0.0012
132	0.4767	0.2636	0.1427	0.0756	0.0392	0.0198	0.0098	0.0047	0.0022	0.0010
133	0.4261	0.2347	0.1266	0.0668	0.0345	0.0174	0.0085	0.0041	0.0019	0.0009
134	0.3808	0.2089	0.1122	0.0590	0.0303	0.0152	0.0074	0.0036	0.0017	0.0008
135	0.3404	0.1860	0.0995	0.0520	0.0266	0.0133	0.0065	0.0031	0.0014	0.0006
136	0.3042	0.1656	0.0882	0.0460	0.0234	0.0116	0.0056	0.0027	0.0012	0.0006
137	0.2719	0.1474	0.0782	0.0406	0.0206	0.0102	0.0049	0.0023	0.0011	0.0005
138	0.2430	0.1312	0.0693	0.0358	0.0181	0.0089	0.0043	0.0020	0.0009	0.0004
139	0.2172	0.1168	0.0615	0.0316	0.0159	0.0078	0.0037	0.0017	0.0008	0.0003
140	0.1942	0.1040	0.0545	0.0279	0.0140	0.0068	0.0032	0.0015	0.0007	0.0003
141	0.1735	0.0926	0.0483	0.0246	0.0123	0.0060	0.0028	0.0013	0.0006	0.0003
142	0.1551	0.0824	0.0428	0.0218	0.0108	0.0052	0.0025	0.0011	0.0005	0.0002
143	0.1386	0.0734	0.0380	0.0192	0.0095	0.0046	0.0021	0.0010	0.0004	0.0002
144	0.1239	0.0653	0.0337	0.0170	0.0083	0.0040	0.0019	0.0009	0.0004	0.0002
145	0.1108	0.0582	0.0299	0.0150	0.0073	0.0035	0.0016	0.0007	0.0003	0.0001
146	0.0990	0.0518	0.0265	0.0132	0.0064	0.0031	0.0014	0.0006	0.0003	0.0001
147	0.0885	0.0461	0.0235	0.0117	0.0057	0.0027	0.0012	0.0006	0.0002	0.0001
148	0.0791	0.0410	0.0208	0.0103	0.0050	0.0023	0.0011	0.0005	0.0002	0.0001
149	0.0707	0.0365	0.0185	0.0091	0.0044	0.0021	0.0009	0.0004	0.0002	0.0001
150	0.0632	0.0325	0.0164	0.0080	0.0038	0.0018	0.0008	0.0004	0.0002	0.0001
151	0.0565	0.0290	0.0145	0.0071	0.0034	0.0016	0.0007	0.0003	0.0001	0.0001
152	0.0505	0.0258	0.0129	0.0063	0.0030	0.0014	0.0006	0.0003	0.0001	0.0000
153	0.0451	0.0230	0.0114	0.0055	0.0026	0.0012	0.0005	0.0002	0.0001	0.0000
154	0.0403	0.0204	0.0101	0.0049	0.0023	0.0011	0.0005	0.0002	0.0001	0.0000
155	0.0360	0.0182	0.0090	0.0043	0.0020	0.0009	0.0004	0.0002	0.0001	0.0000
156	0.0322	0.0162	0.0079	0.0038	0.0018	0.0008	0.0004	0.0002	0.0001	0.0000
157	0.0288	0.0144	0.0070	0.0034	0.0016	0.0007	0.0003	0.0001	0.0001	0.0000
158	0.0257	0.0128	0.0062	0.0030	0.0014	0.0006	0.0003	0.0001	0.0000	0.0000
159	0.0230	0.0114	0.0055	0.0026	0.0012	0.0005	0.0002	0.0001	0.0000	0.0000
160	0.0206	0.0102	0.0049	0.0023	0.0011	0.0005	0.0002	0.0001	0.0000	0.0000
161	0.0184	0.0091	0.0044	0.0020	0.0009	0.0004	0.0002	0.0001	0.0000	0.0000
162	0.0164	0.0081	0.0039	0.0018	0.0008	0.0004	0.0002	0.0001	0.0000	0.0000
163	0.0147	0.0072	0.0034	0.0016	0.0007	0.0003	0.0001	0.0001	0.0000	0.0000
164	0.0131	0.0064	0.0030	0.0014	0.0006	0.0003	0.0001	0.0000	0.0000	0.0000
165	0.0117	0.0057	0.0027	0.0012	0.0006	0.0002	0.0001	0.0000	0.0000	0.0000
166	0.0105	0.0051	0.0024	0.0011	0.0005	0.0002	0.0001	0.0000	0.0000	0.0000
167	0.0094	0.0045	0.0021	0.0010	0.0004	0.0002	0.0001	0.0000	0.0000	0.0000
168	0.0084	0.0040	0.0019	0.0009	0.0004	0.0002	0.0001	0.0000	0.0000	0.0000
169	0.0075	0.0036	0.0017	0.0008	0.0003	0.0001	0.0001	0.0000	0.0000	0.0000
170	0.0067	0.0032	0.0015	0.0007	0.0003	0.0001	0.0001	0.0000	0.0000	0.0000
171	0.0060	0.0028	0.0013	0.0006	0.0003	0.0001	0.0000	0.0000	0.0000	0.0000
172	0.0053	0.0025	0.0012	0.0005	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000
173	0.0048	0.0022	0.0010	0.0005	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000
174	0.0043	0.0020	0.0009	0.0004	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000
175	0.0038	0.0018	0.0008	0.0004	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000
176	0.0034	0.0016	0.0007	0.0003	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000
177	0.0030	0.0014	0.0006	0.0003	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000
178	0.0027	0.0013	0.0006	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000
179	0.0024	0.0011	0.0005	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000
180	0.0022	0.0010	0.0004	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000
181	0.0019	0.0009	0.0004	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000
182	0.0017	0.0008	0.0003	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000
183	0.0016	0.0007	0.0003	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000
184	0.0014	0.0006	0.0003	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
185	0.0012	0.0006	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
186	0.0011	0.0005	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
187	0.0010	0.0004	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
188	0.0009	0.0004	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
189	0.0008	0.0003	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
190	0.0007	0.0003	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
191	0.0006	0.0003	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
192	0.0006	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
193	0.0005	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
194	0.0005	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
195	0.0004	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
196	0.0004	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
197	0.0003	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
198	0.0003	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
199	0.0003	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
200	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
201	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
202	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
203	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
204	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
205	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
206	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
207	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
208	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
