=== LOC DEBUG ===
297: 31437.000000 17837.000000 165.700000
298: 31637.000000 17837.000000 159.900000
299: 31837.000000 17837.000000 154.200000
300: 32037.000000 17837.000000 148.500000
301: 32237.000000 17837.000000 143.000000
302: 32437.000000 17837.000000 137.600000
303: 32637.000000 17837.000000 132.200000
304: 32837.000000 17837.000000 127.000000
305: 33037.000000 17837.000000 121.900000
306: 33237.000000 17837.000000 117.000000
307: 33437.000000 17837.000000 112.100000
308: 33637.000000 17837.000000 107.400000
309: 33837.000000 17837.000000 102.800000
310: 34037.000000 17837.000000 98.400000
311: 34237.000000 17837.000000 94.000000
312: 34437.000000 17837.000000 89.800000
313: 34637.000000 17837.000000 85.800000
314: 34837.000000 17837.000000 81.800000
315: 35037.000000 17837.000000 78.000000
316: 35237.000000 17837.000000 74.400000
317: 35437.000000 17837.000000 70.800000
318: 35637.000000 17837.000000 67.400000
319: 35837.000000 17837.000000 64.100000
320: 36037.000000 17837.000000 61.000000
321: 36237.000000 17837.000000 58.000000
322: 36437.000000 17837.000000 55.100000
323: 36637.000000 17837.000000 52.300000
324: 36837.000000 17837.000000 49.600000
325: 37037.000000 17837.000000 47.100000
326: 37237.000000 17837.000000 44.700000
327: 37437.000000 17837.000000 42.400000
328: 37637.000000 17837.000000 40.200000
329: 37837.000000 17837.000000 38.100000
330: 38037.000000 17837.000000 36.100000
331: 38237.000000 17837.000000 34.200000
332: 38437.000000 17837.000000 32.400000
333: 38637.000000 17837.000000 30.700000
334: 38837.000000 17837.000000 29.100000
335: 39037.000000 17837.000000 27.600000
336: 39237.000000 17837.000000 26.200000
337: 39437.000000 17837.000000 24.900000
338: 39637.000000 17837.000000 23.700000
339: 39837.000000 17837.000000 22.500000
340: 40037.000000 17837.000000 21.400000
341: 40237.000000 17837.000000 20.400000
342: 40437.000000 17837.000000 19.500000
343: 40637.000000 17837.000000 18.600000
344: 40837.000000 17837.000000 17.800000
345: 41037.000000 17837.000000 17.100000
346: 41237.000000 17837.000000 16.500000
347: 41437.000000 17837.000000 15.900000
348: 41637.000000 17837.000000 15.300000
349: 41837.000000 17837.000000 14.900000
350: 42037.000000 17837.000000 14.500000
351: 42237.000000 17837.000000 14.100000
352: 42437.000000 17837.000000 13.800000
353: 42637.000000 17837.000000 13.600000
354: 42837.000000 17837.000000 13.400000
355: 43037.000000 17837.000000 13.200000
356: 43237.000000 17837.000000 13.100000
357: 43437.000000 17837.000000 13.000000
358: 43637.000000 17837.000000 13.000000
359: 43837.000000 17837.000000 13.000000
360: 44037.000000 17837.000000 13.000000
361: 44237.000000 17837.000000 13.100000
362: 44437.000000 17837.000000 13.100000
363: 44637.000000 17837.000000 13.200000
364: 44837.000000 17837.000000 13.300000
365: 45037.000000 17837.000000 13.400000
366: 45237.000000 17837.000000 13.600000
367: 45437.000000 17837.000000 13.700000
368: 45637.000000 17837.000000 13.800000
369: 45837.000000 17837.000000 13.900000
370: 46037.000000 17837.000000 14.000000
371: 46237.000000 17837.000000 14.000000
372: 46437.000000 17837.000000 14.100000
373: 46637.000000 17837.000000 14.100000
374: 46837.000000 17837.000000 14.200000
375: 47037.000000 17837.000000 14.100000
376: 47237.000000 17837.000000 14.100000
377: 47437.000000 17837.000000 14.000000
378: 47637.000000 17837.000000 14.000000
379: 47837.000000 17837.000000 13.800000
380: 48037.000000 17837.000000 13.700000
381: 48237.000000 17837.000000 13.500000
382: 48437.000000 17837.000000 13.300000
383: 48637.000000 17837.000000 13.000000
384: 48837.000000 17837.000000 12.700000
385: 49037.000000 17837.000000 12.400000
386: 49237.000000 17837.000000 12.100000
387: 49437.000000 17837.000000 11.800000
388: 49637.000000 17837.000000 11.400000
389: 49837.000000 17837.000000 11.000000
390: 50037.000000 17837.000000 10.600000
391: 50237.000000 17837.000000 10.200000
392: 50437.000000 17837.000000 9.800000
393: 50637.000000 17837.000000 9.400000
394: 50837.000000 17837.000000 8.900000
395: 51037.000000 17837.000000 8.500000
396: 51237.000000 17837.000000 8.100000
397: 51437.000000 17837.000000 7.600000
398: 51637.000000 17837.000000 7.200000
399: 51837.000000 17837.000000 6.800000
400: 52037.000000 17837.000000 6.300000
401: 52237.000000 17837.000000 5.900000
402: 52437.000000 17837.000000 5.500000
403: 52637.000000 17837.000000 5.200000
404: 52837.000000 17837.000000 4.800000
405: 53037.000000 17837.000000 4.400000
