x(m)	y(m)	z(m)	distfromvent(m)	ttlmassloading(kg/sq-m)	F(percent)	Mean(phi)	5phi	4phi	3phi	2phi	1phi	0phi	-1phi	-2phi	-3phi	-4phi
720000	3516000	359	45037.2	1.1590e-04	91.8756	2.3452	1.7953e-07	5.4370e-06	7.4011e-05	3.2503e-07	2.6533e-05	9.3672e-06	4.9040e-08	5.3347e-11	1.9507e-15	8.4955e-22
721000	3516000	272	45972.0	1.4278e-04	97.8160	2.8715	2.1706e-07	7.3735e-06	1.2364e-04	8.9306e-08	8.3444e-06	3.1025e-06	1.5743e-08	1.5730e-11	4.8965e-16	1.6427e-22
722000	3516000	358	46909.5	9.8789e-05	98.9597	2.9585	1.8644e-07	4.0966e-06	9.0724e-05	2.7329e-08	2.7275e-06	1.0229e-06	4.8386e-09	4.3557e-12	1.1370e-16	2.9044e-23
723000	3516000	365	47849.5	1.0245e-04	99.6948	3.0119	1.8584e-07	3.4181e-06	9.7716e-05	7.4828e-09	8.1358e-07	3.1131e-07	1.3874e-09	1.1308e-12	2.4847e-17	4.8470e-24
724000	3516000	329	48791.9	1.2066e-04	99.9264	3.0279	2.0451e-07	3.6841e-06	1.1645e-04	1.9024e-09	2.2613e-07	8.8482e-08	3.7251e-10	2.7529e-13	5.0969e-18	7.5995e-25
725000	3516000	460	49736.5	4.5915e-05	99.9457	3.0323	1.4367e-07	1.4002e-06	4.4281e-05	5.1826e-10	6.4113e-08	2.4831e-08	9.5553e-11	6.2924e-14	9.6818e-19	1.0912e-25
726000	3516000	368	50683.3	1.2099e-04	99.9948	3.0215	1.9076e-07	2.2737e-06	1.1851e-04	1.1718e-10	1.5754e-08	6.2227e-09	2.2588e-11	1.3477e-14	1.7464e-19	1.5041e-26
727000	3516000	604	51632.1	2.6924e-05	99.9941	3.0154	6.7678e-08	2.9203e-07	2.6558e-05	3.0096e-11	4.1195e-09	1.5823e-09	5.1402e-12	2.7008e-15	2.8800e-20	1.8597e-27
728000	3516000	343	52582.7	1.3637e-04	99.9997	3.0183	2.0641e-07	2.0886e-06	1.3407e-04	5.8611e-12	8.7280e-10	3.4417e-10	1.0664e-12	5.1097e-16	4.6150e-21	2.2887e-28
729000	3516000	296	53535.2	1.6689e-04	100.0000	3.0172	2.2848e-07	2.4173e-06	1.6425e-04	1.2201e-12	1.8913e-10	7.4138e-11	2.1135e-13	9.0563e-17	6.8183e-22	2.5632e-29
730000	3516000	271	54489.4	1.7391e-04	100.0000	3.0172	2.4359e-07	2.5119e-06	1.7116e-04	2.4675e-13	3.9289e-11	1.5187e-11	3.9490e-14	1.5064e-17	9.4189e-23	2.6764e-30
731000	3516000	334	55445.2	1.4385e-04	100.0000	3.0140	2.1360e-07	1.5848e-06	1.4205e-04	4.8687e-14	7.8576e-12	2.9635e-12	6.9348e-15	2.3372e-18	1.2060e-23	2.5765e-31
732000	3516000	145	56402.5	3.5479e-04	100.0000	3.0126	3.1033e-07	3.8621e-06	3.5062e-04	9.3227e-15	1.4934e-12	5.4930e-13	1.1669e-15	3.4952e-19	1.4975e-24	2.4200e-32
733000	3516000	38	57361.3	4.6698e-04	100.0000	3.0145	3.9887e-07	5.9641e-06	4.6061e-04	2.0520e-15	3.0018e-13	1.0328e-13	1.9160e-16	5.0004e-20	1.7519e-25	2.1167e-33
734000	3516000	0	58321.4	6.7211e-04	100.0000	3.0110	4.3711e-07	6.5149e-06	6.6516e-04	4.0338e-16	5.5365e-14	1.7949e-14	2.9108e-17	6.6158e-21	1.8930e-26	1.7074e-34
735000	3516000	0	59282.9	6.2157e-04	100.0000	3.0111	4.3996e-07	6.0058e-06	6.1512e-04	6.9406e-17	9.2308e-15	2.8533e-15	4.0710e-18	8.0793e-22	1.8907e-27	1.2737e-35
