i	x_from_vent	y_from_vent	x_coord	y_coord	cloud_sigma2	mass_released
888	1310445.4016	-1129899.4628	1988408.4016	2402263.5372	275984985431.8572	1.9231e+04
889	1310537.0046	-1129939.5739	1988500.0046	2402223.4261	275984985431.8572	1.9224e+04
890	1310628.6075	-1129979.6850	1988591.6075	2402183.3150	275984985431.8572	1.9216e+04
891	1310720.2105	-1130019.7962	1988683.2105	2402143.2038	275984985431.8572	1.9209e+04
892	1310811.8134	-1130059.9073	1988774.8134	2402103.0927	275984985431.8572	1.9202e+04
893	1310903.4163	-1130100.0184	1988866.4163	2402062.9816	275984985431.8572	1.9195e+04
894	1310995.0193	-1130140.1295	1988958.0193	2402022.8705	275984985431.8572	1.9188e+04
895	1311086.6222	-1130180.2406	1989049.6222	2401982.7594	275984985431.8572	1.9181e+04
896	1311178.2252	-1130220.3517	1989141.2252	2401942.6483	275984985431.8572	1.9174e+04
897	1311269.8281	-1130260.4628	1989232.8281	2401902.5372	275984985431.8572	1.9167e+04
898	1311361.4310	-1130300.5739	1989324.4310	2401862.4261	275984985431.8572	1.9159e+04
899	1311453.0340	-1130340.6850	1989416.0340	2401822.3150	275984985431.8572	1.9152e+04
900	1311544.6369	-1130380.7961	1989507.6369	2401782.2039	275984985431.8572	1.9145e+04
901	1311636.2399	-1130420.9072	1989599.2399	2401742.0928	275984985431.8572	1.9138e+04
902	1311727.8428	-1130461.0183	1989690.8428	2401701.9817	275984985431.8572	1.9131e+04
903	1311819.4458	-1130501.1295	1989782.4458	2401661.8705	275984985431.8572	1.9124e+04
904	1311911.0487	-1130541.2406	1989874.0487	2401621.7594	275984985431.8572	1.9117e+04
905	1312002.6516	-1130581.3517	1989965.6516	2401581.6483	275984985431.8572	1.9110e+04
906	1312094.2546	-1130621.4628	1990057.2546	2401541.5372	275984985431.8572	1.9103e+04
907	1312185.8575	-1130661.5739	1990148.8575	2401501.4261	275984985431.8572	1.9096e+04
908	1312277.4605	-1130701.6850	1990240.4605	2401461.3150	275984985431.8572	1.9089e+04
909	1312369.0634	-1130741.7961	1990332.0634	2401421.2039	275984985431.8572	1.9082e+04
910	1312460.6663	-1130781.9072	1990423.6663	2401381.0928	275984985431.8572	1.9074e+04
911	1312552.2693	-1130822.0183	1990515.2693	2401340.9817	275984985431.8572	1.9067e+04
912	1312643.8722	-1130862.1294	1990606.8722	2401300.8706	275984985431.8572	1.9060e+04
913	1312735.4752	-1130902.2405	1990698.4752	2401260.7595	275984985431.8572	1.9053e+04
914	1312827.0781	-1130942.3516	1990790.0781	2401220.6484	275984985431.8572	1.9046e+04
915	1312918.6811	-1130982.4628	1990881.6811	2401180.5372	275984985431.8572	1.9039e+04
916	1313010.2840	-1131022.5739	1990973.2840	2401140.4261	275984985431.8572	1.9032e+04
917	1313101.8869	-1131062.6850	1991064.8869	2401100.3150	275984985431.8572	1.9025e+04
918	1313193.4899	-1131102.7961	1991156.4899	2401060.2039	275984985431.8572	1.9018e+04
919	1313285.0928	-1131142.9072	1991248.0928	2401020.0928	275984985431.8572	1.9011e+04
920	1313376.6958	-1131183.0183	1991339.6958	2400979.9817	275984985431.8572	1.9004e+04
921	1313468.2987	-1131223.1294	1991431.2987	2400939.8706	275984985431.8572	1.8997e+04
922	1313559.9017	-1131263.2405	1991522.9017	2400899.7595	275984985431.8572	1.8990e+04
923	1313651.5046	-1131303.3516	1991614.5046	2400859.6484	275984985431.8572	1.8983e+04
924	1313743.1075	-1131343.4627	1991706.1075	2400819.5373	275984985431.8572	1.8976e+04
925	1313834.7105	-1131383.5738	1991797.7105	2400779.4262	275984985431.8572	1.8969e+04
926	1313926.3134	-1131423.6850	1991889.3134	2400739.3150	275984985431.8572	1.8962e+04
927	1314017.9164	-1131463.7961	1991980.9164	2400699.2039	275984985431.8572	1.8955e+04
928	1314109.5193	-1131503.9072	1992072.5193	2400659.0928	275984985431.8572	1.8948e+04
929	1314201.1222	-1131544.0183	1992164.1222	2400618.9817	275984985431.8572	1.8941e+04
930	1314292.7252	-1131584.1294	1992255.7252	2400578.8706	275984985431.8572	1.8934e+04
931	1314384.3281	-1131624.2405	1992347.3281	2400538.7595	275984985431.8572	1.8927e+04
932	1314475.9311	-1131664.3516	1992438.9311	2400498.6484	275984985431.8572	1.8920e+04
933	1314567.5340	-1131704.4627	1992530.5340	2400458.5373	275984985431.8572	1.8913e+04
934	1314659.1370	-1131744.5738	1992622.1370	2400418.4262	275984985431.8572	1.8906e+04
935	1314750.7399	-1131784.6849	1992713.7399	2400378.3151	275984985431.8572	1.8899e+04
936	1314842.3428	-1131824.7960	1992805.3428	2400338.2040	275984985431.8572	1.8892e+04
937	1314933.9458	-1131864.9071	1992896.9458	2400298.0929	275984985431.8572	1.8885e+04
938	1315025.5487	-1131905.0183	1992988.5487	2400257.9817	275984985431.8572	1.8878e+04
939	1315117.1517	-1131945.1294	1993080.1517	2400217.8706	275984985431.8572	1.8871e+04
940	1315208.7546	-1131985.2405	1993171.7546	2400177.7595	275984985431.8572	1.8864e+04
941	1315300.3575	-1132025.3516	1993263.3575	2400137.6484	275984985431.8572	1.8857e+04
942	1315391.9605	-1132065.4627	1993354.9605	2400097.5373	275984985431.8572	1.8850e+04
