calc_step	x	y	z	R	time
315	1868.4779	-1504.0511	3101.8714	1640.8295	128.8883
316	1876.9873	-1508.3971	3104.8214	1643.9080	129.3320
317	1885.5019	-1512.7412	3107.7591	1646.9754	129.7757
318	1894.0217	-1517.0835	3110.6843	1650.0317	130.2194
319	1902.5467	-1521.4239	3113.5972	1653.0769	130.6631
320	1911.0769	-1525.7626	3116.4977	1656.1109	131.1067
321	1919.6122	-1530.0993	3119.3858	1659.1338	131.5504
322	1928.1525	-1534.4343	3122.2617	1662.1456	131.9940
323	1936.6980	-1538.7673	3125.1253	1665.1464	132.4376
324	1945.2484	-1543.0986	3127.9766	1668.1360	132.8812
325	1953.8039	-1547.4280	3130.8157	1671.1146	133.3248
326	1962.3643	-1551.7556	3133.6426	1674.0821	133.7684
327	1970.9296	-1556.0813	3136.4574	1677.0386	134.2119
328	1979.4999	-1560.4052	3139.2600	1679.9840	134.6554
329	1988.0750	-1564.7273	3142.0504	1682.9184	135.0989
330	1996.6550	-1569.0475	3144.8288	1685.8417	135.5424
331	2005.2398	-1573.3659	3147.5952	1688.7541	135.9858
332	2013.8294	-1577.6824	3150.3495	1691.6554	136.4292
333	2022.4238	-1581.9971	3153.0918	1694.5457	136.8726
334	2031.0229	-1586.3100	3155.8221	1697.4251	137.3160
335	2039.6267	-1590.6211	3158.5404	1700.2934	137.7594
336	2048.2352	-1594.9303	3161.2468	1703.1508	138.2027
337	2056.8483	-1599.2377	3163.9413	1705.9973	138.6460
338	2065.4660	-1603.5432	3166.6240	1708.8327	139.0893
339	2074.0884	-1607.8470	3169.2948	1711.6573	139.5325
340	2082.7153	-1612.1489	3171.9537	1714.4709	139.9757
341	2091.3467	-1616.4490	3174.6008	1717.2736	140.4189
342	2099.9827	-1620.7473	3177.2362	1720.0654	140.8620
343	2108.6231	-1625.0437	3179.8598	1722.8463	141.3052
344	2117.2680	-1629.3383	3182.4717	1725.6163	141.7482
345	2125.9174	-1633.6311	3185.0719	1728.3754	142.1913
346	2134.5711	-1637.9221	3187.6604	1731.1237	142.6343
347	2143.2292	-1642.2113	3190.2372	1733.8611	143.0773
348	2151.8916	-1646.4987	3192.8024	1736.5876	143.5203
349	2160.5584	-1650.7843	3195.3560	1739.3033	143.9632
350	2169.2295	-1655.0681	3197.8981	1742.0082	144.4061
351	2177.9048	-1659.3500	3200.4285	1744.7023	144.8489
352	2186.5844	-1663.6302	3202.9475	1747.3856	145.2918
353	2195.2682	-1667.9086	3205.4549	1750.0580	145.7345
354	2203.9562	-1672.1851	3207.9508	1752.7197	146.1773
355	2212.6483	-1676.4599	3210.4353	1755.3707	146.6200
356	2221.3446	-1680.7329	3212.9084	1758.0108	147.0627
357	2230.0451	-1685.0041	3215.3700	1760.6402	147.5053
358	2238.7496	-1689.2735	3217.8202	1763.2589	147.9479
359	2247.4581	-1693.5412	3220.2591	1765.8668	148.3905
360	2256.1707	-1697.8070	3222.6866	1768.4641	148.8330
361	2264.8874	-1702.0711	3225.1028	1771.0506	149.2755
362	2273.6080	-1706.3334	3227.5077	1773.6264	149.7179
363	2282.3326	-1710.5940	3229.9013	1776.1915	150.1603
364	2291.0611	-1714.8528	3232.2837	1778.7460	150.6027
365	2299.7935	-1719.1098	3234.6548	1781.2898	151.0450
366	2308.5298	-1723.3650	3237.0148	1783.8230	151.4873
