i	x_from_vent	y_from_vent	x_coord	y_coord	cloud_sigma2	mass_released
270	28696.3266	-15616.4618	706659.3266	3516546.5382	5377614.0523	2.6836e+02
271	28787.9296	-15656.5730	706750.9296	3516506.4270	5377614.0523	2.5746e+02
272	28879.5325	-15696.6841	706842.5325	3516466.3159	5377614.0523	2.4700e+02
273	28971.1354	-15736.7952	706934.1354	3516426.2048	5377614.0523	2.3697e+02
274	29062.7384	-15776.9063	707025.7384	3516386.0937	5377614.0523	2.2735e+02
275	29154.3413	-15817.0174	707117.3413	3516345.9826	5377614.0523	2.1812e+02
276	29245.9443	-15857.1285	707208.9443	3516305.8715	5377614.0523	2.0927e+02
277	29337.5472	-15897.2396	707300.5472	3516265.7604	5377614.0523	2.0078e+02
278	29429.1501	-15937.3507	707392.1501	3516225.6493	5377614.0523	1.9264e+02
279	29520.7531	-15977.4618	707483.7531	3516185.5382	5377614.0523	1.8483e+02
280	29612.3560	-16017.5729	707575.3560	3516145.4271	5377614.0523	1.7733e+02
281	29703.9590	-16057.6840	707666.9590	3516105.3160	5377614.0523	1.7014e+02
282	29795.5619	-16097.7951	707758.5619	3516065.2049	5377614.0523	1.6325e+02
283	29887.1649	-16137.9063	707850.1649	3516025.0937	5377614.0523	1.5663e+02
284	29978.7678	-16178.0174	707941.7678	3515984.9826	5377614.0523	1.5029e+02
285	30070.3707	-16218.1285	708033.3707	3515944.8715	5377614.0523	1.4420e+02
286	30161.9737	-16258.2396	708124.9737	3515904.7604	5377614.0523	1.3836e+02
287	30253.5766	-16298.3507	708216.5766	3515864.6493	5377614.0523	1.3276e+02
288	30345.1796	-16338.4618	708308.1796	3515824.5382	5377614.0523	1.2738e+02
289	30436.7825	-16378.5729	708399.7825	3515784.4271	5377614.0523	1.2223e+02
290	30528.3854	-16418.6840	708491.3854	3515744.3160	5377614.0523	1.1728e+02
291	30619.9884	-16458.7951	708582.9884	3515704.2049	5377614.0523	1.1254e+02
292	30711.5913	-16498.9062	708674.5913	3515664.0938	5377614.0523	1.0798e+02
293	30803.1943	-16539.0173	708766.1943	3515623.9827	5377614.0523	1.0362e+02
294	30894.7972	-16579.1285	708857.7972	3515583.8715	5377614.0523	9.9428e+01
295	30986.4002	-16619.2396	708949.4002	3515543.7604	5377614.0523	9.5408e+01
296	31078.0031	-16659.3507	709041.0031	3515503.6493	5377614.0523	9.1552e+01
297	31169.6060	-16699.4618	709132.6060	3515463.5382	5377614.0523	8.7852e+01
298	31261.2090	-16739.5729	709224.2090	3515423.4271	5377614.0523	8.4303e+01
299	31352.8119	-16779.6840	709315.8119	3515383.3160	5377614.0523	8.0897e+01
300	31444.4149	-16819.7951	709407.4149	3515343.2049	5377614.0523	7.7630e+01
301	31536.0178	-16859.9062	709499.0178	3515303.0938	5377614.0523	7.4495e+01
302	31627.6208	-16900.0173	709590.6208	3515262.9827	5377614.0523	7.1488e+01
303	31719.2237	-16940.1284	709682.2237	3515222.8716	5377614.0523	6.8602e+01
304	31810.8266	-16980.2395	709773.8266	3515182.7605	5377614.0523	6.5833e+01
305	31902.4296	-17020.3506	709865.4296	3515142.6494	5377614.0523	6.3177e+01
306	31994.0325	-17060.4618	709957.0325	3515102.5382	5377614.0523	6.0628e+01
307	32085.6355	-17100.5729	710048.6355	3515062.4271	5377614.0523	5.8183e+01
308	32177.2384	-17140.6840	710140.2384	3515022.3160	5377614.0523	5.5836e+01
309	32268.8413	-17180.7951	710231.8413	3514982.2049	5377614.0523	5.3585e+01
310	32360.4443	-17220.9062	710323.4443	3514942.0938	5377614.0523	5.1425e+01
311	32452.0472	-17261.0173	710415.0472	3514901.9827	5377614.0523	4.9352e+01
312	32543.6502	-17301.1284	710506.6502	3514861.8716	5377614.0523	4.7363e+01
313	32635.2531	-17341.2395	710598.2531	3514821.7605	5377614.0523	4.5455e+01
314	32726.8561	-17381.3506	710689.8561	3514781.6494	5377614.0523	4.3624e+01
315	32818.4590	-17421.4617	710781.4590	3514741.5383	5377614.0523	4.1867e+01
316	32910.0619	-17461.5728	710873.0619	3514701.4272	5377614.0523	4.0181e+01
317	33001.6649	-17501.6839	710964.6649	3514661.3161	5377614.0523	3.8563e+01
318	33093.2678	-17541.7951	711056.2678	3514621.2049	5377614.0523	3.7010e+01
319	33184.8708	-17581.9062	711147.8708	3514581.0938	5377614.0523	3.5521e+01
320	33276.4737	-17622.0173	711239.4737	3514540.9827	5377614.0523	3.4091e+01
321	33368.0766	-17662.1284	711331.0766	3514500.8716	5377614.0523	3.2719e+01
