x(m)	y(m)	z(m)	distfromvent(m)	ttlmassloading(kg/sq-m)	F(percent)	Mean(phi)	5phi	4phi	3phi	2phi	1phi	0phi	-1phi	-2phi	-3phi	-4phi
671000	3513000	64	20388.8	4.6807e-05	100.0000	3.9429	7.4254e-07	4.2652e-05	3.4130e-06	6.3105e-19	1.0725e-17	6.5950e-17	2.2511e-17	2.4482e-18	1.2506e-19	3.1624e-21
672000	3513000	86	20069.3	5.4273e-05	100.0000	3.9345	7.2564e-07	4.9268e-05	4.2794e-06	3.1181e-17	2.9256e-16	1.3782e-15	4.0237e-16	3.9391e-17	1.8495e-18	4.3695e-20
673000	3513000	154	19795.3	4.7245e-05	100.0000	3.9702	6.6667e-07	4.4502e-05	2.0767e-06	7.2854e-16	6.0141e-15	2.1969e-14	5.4898e-15	4.8683e-16	2.1142e-17	4.6903e-19
674000	3513000	210	19568.5	4.9435e-05	100.0000	3.9744	6.2736e-07	4.6916e-05	1.8915e-06	1.8723e-14	1.1189e-13	3.0584e-13	6.3786e-14	5.0502e-15	2.0039e-16	4.1298e-18
675000	3513000	256	19390.7	4.9576e-05	100.0000	3.9787	6.1853e-07	4.7281e-05	1.6766e-06	4.8695e-13	1.8579e-12	3.6791e-12	6.2571e-13	4.3708e-14	1.5685e-15	2.9745e-17
676000	3513000	337	19263.3	4.2783e-05	99.9999	3.9943	5.8103e-07	4.1376e-05	8.2577e-07	7.9272e-12	2.4324e-11	3.4924e-11	4.8071e-12	2.9694e-13	9.6636e-15	1.6887e-16
677000	3513000	422	19187.2	3.4837e-05	99.9991	4.0006	5.3758e-07	3.3784e-05	5.1430e-07	1.1164e-10	2.7194e-10	2.7905e-10	3.0599e-11	1.6618e-12	4.8762e-14	7.7986e-16
678000	3513000	514	19163.0	2.7485e-05	99.9926	4.0058	4.7576e-07	2.6705e-05	2.9803e-07	1.3068e-09	2.5679e-09	1.8674e-09	1.6103e-10	7.6607e-12	2.0176e-13	2.9341e-15
679000	3513000	482	19191.0	4.0574e-05	99.9647	3.9811	5.4125e-07	3.8853e-05	1.1079e-06	2.9808e-08	2.7925e-08	1.3404e-08	8.7721e-10	3.5308e-11	8.0303e-13	1.0213e-14
680000	3513000	468	19271.0	5.8743e-05	99.8596	3.8902	5.8919e-07	5.2298e-05	5.0893e-06	4.3807e-07	2.4609e-07	7.8465e-08	3.8924e-09	1.3309e-10	2.6155e-12	2.8966e-14
681000	3513000	403	19402.2	1.4998e-04	99.7054	3.6049	6.7614e-07	1.0080e-04	4.0010e-05	6.0052e-06	2.0428e-06	4.2543e-07	1.5878e-08	4.5659e-10	7.6278e-12	7.1973e-14
682000	3513000	396	19583.6	4.1522e-04	99.5593	3.1626	7.1578e-07	1.4351e-04	2.0982e-04	4.6827e-05	1.2527e-05	1.7783e-06	5.0428e-08	1.2393e-09	1.7791e-11	1.4326e-13
683000	3513000	308	19813.9	1.8628e-03	99.6015	2.8863	8.0834e-07	3.1901e-04	1.1008e-03	3.5955e-04	7.5196e-05	7.2633e-06	1.5683e-07	3.2605e-09	3.9398e-11	2.6259e-13
684000	3513000	384	20091.4	5.4654e-03	99.6308	2.7253	7.9673e-07	4.8171e-04	3.3202e-03	1.3614e-03	2.8117e-04	1.9839e-05	3.3310e-07	6.1014e-09	6.4241e-11	3.6123e-13
685000	3513000	264	20414.2	2.0061e-02	99.6775	2.5899	9.0514e-07	1.0131e-03	1.1180e-02	6.5556e-03	1.2461e-03	6.3833e-05	8.4322e-07	1.3267e-08	1.1668e-10	5.2409e-13
686000	3513000	253	20780.1	5.2199e-02	99.7029	2.4895	9.4434e-07	1.6884e-03	2.6413e-02	2.0011e-02	3.9299e-03	1.5340e-04	1.6421e-06	2.2965e-08	1.7281e-10	6.2397e-13
687000	3513000	180	21187.0	1.2334e-01	99.7083	2.3790	1.0255e-06	2.5569e-03	5.3965e-02	5.4851e-02	1.1610e-02	3.5658e-04	3.1911e-06	3.9825e-08	2.5398e-10	7.2059e-13
688000	3513000	215	21632.4	2.3300e-01	99.7179	2.2958	1.0272e-06	3.6631e-03	8.9418e-02	1.1275e-01	2.6516e-02	6.5211e-04	5.0673e-06	5.8124e-08	3.2046e-10	7.1921e-13
689000	3513000	215	22114.2	4.0207e-01	99.7147	2.2014	1.0597e-06	4.7848e-03	1.3012e-01	2.0962e-01	5.6404e-02	1.1391e-03	7.9741e-06	8.4370e-08	4.0023e-10	7.0258e-13
690000	3513000	158	22629.8	6.3948e-01	99.6916	2.0901	1.1436e-06	5.2069e-03	1.6473e-01	3.5403e-01	1.1354e-01	1.9590e-03	1.2756e-05	1.2425e-07	5.0360e-10	6.8495e-13
691000	3513000	171	23177.2	9.0951e-01	99.6746	1.9910	1.1625e-06	5.4258e-03	1.8491e-01	5.1817e-01	1.9804e-01	2.9407e-03	1.8327e-05	1.6619e-07	5.8081e-10	6.1607e-13
692000	3513000	172	23754.1	1.2150e+00	99.6488	1.8885	1.1932e-06	5.0272e-03	1.8555e-01	6.9763e-01	3.2257e-01	4.2410e-03	2.5766e-05	2.1730e-07	6.5367e-10	5.3977e-13
693000	3513000	165	24358.4	1.5459e+00	99.6151	1.7875	1.2336e-06	4.2024e-03	1.6809e-01	8.7465e-01	4.9299e-01	5.9138e-03	3.5391e-05	2.7720e-07	7.1667e-10	4.6018e-13
694000	3513000	156	24988.1	1.8928e+00	99.5771	1.6947	1.2739e-06	3.2921e-03	1.3927e-01	1.0346e+00	7.0762e-01	7.9574e-03	4.7129e-05	3.4255e-07	7.6075e-10	3.7975e-13
695000	3513000	134	25641.4	2.2547e+00	99.5327	1.6129	1.3251e-06	2.4617e-03	1.0660e-01	1.1719e+00	9.6315e-01	1.0474e-02	6.1445e-05	4.1364e-07	7.8781e-10	3.0536e-13
696000	3513000	144	26316.4	2.6080e+00	99.4957	1.5502	1.3496e-06	1.9369e-03	7.6746e-02	1.2888e+00	1.2274e+00	1.3077e-02	7.5934e-05	4.7401e-07	7.7564e-10	2.3387e-13
697000	3513000	152	27011.6	2.9497e+00	99.4581	1.5037	1.3745e-06	1.6143e-03	5.2286e-02	1.3924e+00	1.4874e+00	1.5893e-02	9.1134e-05	5.2683e-07	7.3997e-10	1.7345e-13
698000	3513000	158	27725.5	3.2604e+00	99.4190	1.4724	1.4021e-06	1.4176e-03	3.4147e-02	1.4866e+00	1.7193e+00	1.8835e-02	1.0638e-04	5.6869e-07	6.8488e-10	1.2471e-13
699000	3513000	163	28456.6	3.5145e+00	99.3781	1.4541	1.4304e-06	1.2858e-03	2.1698e-02	1.5707e+00	1.8990e+00	2.1735e-02	1.2059e-04	5.9535e-07	6.1419e-10	8.6819e-14
700000	3513000	174	29203.6	3.6869e+00	99.3362	1.4464	1.4538e-06	1.1622e-03	1.3598e-02	1.6398e+00	2.0079e+00	2.4340e-02	1.3228e-04	6.0246e-07	5.3206e-10	5.8361e-14
701000	3513000	180	29965.4	3.7597e+00	99.2891	1.4448	1.4806e-06	1.0331e-03	8.6037e-03	1.6790e+00	2.0443e+00	2.6585e-02	1.4115e-04	5.9220e-07	4.4720e-10	3.8031e-14
