massloading(kg/m2)	area(sqkm)	sqrtA(km)	dist_from_vent(m)	x(m)	y(m)	dir(deg)	Mean(phi)	F(percent)
1.8209e+01	36.4000	6.0332	10750.4948	7437.00	-7763.00	136.2	0.1933	37.2892
1.7983e+01	37.0400	6.0860	10753.2478	7837.00	-7363.00	133.2	0.0700	30.9491
1.7957e+01	37.0800	6.0893	10760.2759	7237.00	-7963.00	137.7	0.2499	40.1371
1.7868e+01	37.1600	6.0959	10889.8089	7637.00	-7763.00	135.5	0.1779	36.3635
1.7770e+01	37.3200	6.1090	10891.1679	7837.00	-7563.00	134.0	0.1179	33.2646
1.7752e+01	37.4000	6.1156	10895.7945	7437.00	-7963.00	137.0	0.2328	39.1508
1.7490e+01	37.7600	6.1449	11033.2741	7637.00	-7963.00	136.2	0.2166	38.1989
1.7301e+01	38.4400	6.2000	11035.9566	8037.00	-7563.00	133.3	0.1022	32.2654
1.7190e+01	38.8000	6.2290	11042.8048	7437.00	-8163.00	137.7	0.2764	41.2503
1.7133e+01	38.8400	6.2322	11172.6424	7837.00	-7963.00	135.5	0.2080	37.6472
1.7076e+01	39.1200	6.2546	11173.9670	8037.00	-7763.00	134.0	0.1495	34.5934
1.6996e+01	39.2800	6.2674	11178.4766	7637.00	-8163.00	136.9	0.2613	40.3710
1.6802e+01	39.7600	6.3056	11182.4478	8237.00	-7563.00	132.6	0.0888	31.3717
1.6796e+01	39.8000	6.3087	11313.8295	8037.00	-7963.00	134.7	0.1930	36.7294
1.6745e+01	40.0000	6.3246	11316.0566	7837.00	-8163.00	136.2	0.2480	39.5827
1.6640e+01	40.1600	6.3372	11318.6721	8237.00	-7763.00	133.3	0.1366	33.7500
1.6460e+01	40.7200	6.3812	11455.4763	8037.00	-8163.00	135.4	0.2349	38.7828
1.6424e+01	40.8000	6.3875	11456.7682	8237.00	-7963.00	134.0	0.1797	35.8832
1.6224e+01	41.4000	6.4343	11461.1665	7837.00	-8363.00	136.9	0.2972	42.0357
1.6198e+01	41.5200	6.4436	11465.0398	8437.00	-7763.00	132.6	0.1210	32.7342
1.6141e+01	41.6000	6.4498	11596.6693	8237.00	-8163.00	134.7	0.2226	38.0189
1.6041e+01	41.7200	6.4591	11601.3938	8437.00	-7963.00	133.3	0.1644	34.8988
1.5814e+01	42.2400	6.4992	11739.5715	8437.00	-8163.00	134.1	0.2079	37.0927
1.5621e+01	42.9600	6.5544	11747.6439	8637.00	-7963.00	132.7	0.1535	34.1557
1.5507e+01	43.2400	6.5757	11879.5092	8437.00	-8363.00	134.7	0.2541	39.4608
1.5450e+01	43.3200	6.5818	11884.1213	8637.00	-8163.00	133.4	0.1962	36.3266
1.5202e+01	43.8000	6.6182	12022.3766	8637.00	-8363.00	134.1	0.2420	38.6967
1.5067e+01	44.5600	6.6753	12030.2593	8837.00	-8163.00	132.7	0.1860	35.6281
1.4892e+01	45.1200	6.7171	12162.3492	8637.00	-8563.00	134.8	0.2875	41.0661
1.4882e+01	45.1600	6.7201	12166.8541	8837.00	-8363.00	133.4	0.2292	37.8702
1.4666e+01	45.9600	6.7794	12177.9283	9037.00	-8163.00	132.1	0.1790	35.1132
1.4620e+01	46.0800	6.7882	12305.1834	8837.00	-8563.00	134.1	0.2758	40.3327
1.4535e+01	46.2800	6.8029	12312.8850	9037.00	-8363.00	132.8	0.2194	37.2047
1.4327e+01	46.9200	6.8498	12449.5919	9037.00	-8563.00	133.5	0.2652	39.6474
1.4176e+01	47.6000	6.8993	12460.4148	9237.00	-8363.00	132.2	0.2099	36.5448
1.4059e+01	47.8800	6.9195	12587.9918	9037.00	-8763.00	134.1	0.3111	42.1104
1.4023e+01	48.0400	6.9311	12595.5206	9237.00	-8563.00	132.8	0.2531	38.8561
1.3805e+01	48.6400	6.9742	12732.3343	9237.00	-8763.00	133.5	0.2988	41.3325
1.3692e+01	49.4400	7.0314	12742.9172	9437.00	-8563.00	132.2	0.2462	38.3647
1.3561e+01	49.9200	7.0654	12870.8018	9237.00	-8963.00	134.1	0.3381	43.4153
1.3531e+01	50.0000	7.0711	12878.1652	9437.00	-8763.00	132.9	0.2875	40.6008
1.3359e+01	50.6000	7.1134	12891.7314	9637.00	-8563.00	131.6	0.2362	37.6575
1.3320e+01	50.7600	7.1246	13015.0812	9437.00	-8963.00	133.5	0.3288	42.8354
1.3230e+01	51.0800	7.1470	13025.4343	9637.00	-8763.00	132.3	0.2815	40.1809
1.3071e+01	51.8000	7.1972	13153.6131	9437.00	-9163.00	134.2	0.3685	44.9700
1.3057e+01	51.8800	7.2028	13160.8183	9637.00	-8963.00	132.9	0.3226	42.4434
1.2931e+01	52.3200	7.2333	13174.0934	9837.00	-8763.00	131.7	0.2702	39.4064
