s	phi0.0	phi-0.1	phi-0.2	phi-0.3	phi-0.4	phi-0.5	phi-0.6	phi-0.7	phi-0.8	phi-0.9
686	0.4377	0.1549	0.0505	0.0151	0.0041	0.0010	0.0002	0.0001	0.0000	0.0000
687	0.4280	0.1512	0.0492	0.0147	0.0040	0.0010	0.0002	0.0001	0.0000	0.0000
688	0.4185	0.1476	0.0480	0.0143	0.0039	0.0009	0.0001	0.0001	0.0000	0.0000
689	0.4092	0.1441	0.0468	0.0139	0.0038	0.0009	0.0001	0.0001	0.0000	0.0000
690	0.4001	0.1407	0.0456	0.0135	0.0036	0.0009	0.0001	0.0001	0.0000	0.0000
691	0.3912	0.1374	0.0444	0.0131	0.0035	0.0009	0.0001	0.0001	0.0000	0.0000
692	0.3825	0.1341	0.0433	0.0128	0.0034	0.0008	0.0001	0.0001	0.0000	0.0000
693	0.3741	0.1309	0.0422	0.0124	0.0033	0.0008	0.0001	0.0001	0.0000	0.0000
694	0.3658	0.1278	0.0411	0.0121	0.0032	0.0008	0.0001	0.0001	0.0000	0.0000
695	0.3576	0.1248	0.0401	0.0118	0.0031	0.0008	0.0001	0.0000	0.0000	0.0000
696	0.3497	0.1218	0.0390	0.0115	0.0031	0.0007	0.0001	0.0000	0.0000	0.0000
697	0.3419	0.1189	0.0380	0.0111	0.0030	0.0007	0.0001	0.0000	0.0000	0.0000
698	0.3344	0.1161	0.0371	0.0108	0.0029	0.0007	0.0001	0.0000	0.0000	0.0000
699	0.3269	0.1133	0.0361	0.0105	0.0028	0.0007	0.0001	0.0000	0.0000	0.0000
700	0.3197	0.1106	0.0352	0.0103	0.0027	0.0006	0.0001	0.0000	0.0000	0.0000
701	0.3126	0.1080	0.0343	0.0100	0.0026	0.0006	0.0001	0.0000	0.0000	0.0000
702	0.3057	0.1054	0.0334	0.0097	0.0026	0.0006	0.0001	0.0000	0.0000	0.0000
703	0.2989	0.1029	0.0326	0.0094	0.0025	0.0006	0.0001	0.0000	0.0000	0.0000
704	0.2923	0.1005	0.0318	0.0092	0.0024	0.0006	0.0001	0.0000	0.0000	0.0000
705	0.2858	0.0981	0.0310	0.0089	0.0023	0.0006	0.0001	0.0000	0.0000	0.0000
706	0.2794	0.0958	0.0302	0.0087	0.0023	0.0005	0.0001	0.0000	0.0000	0.0000
707	0.2732	0.0935	0.0294	0.0085	0.0022	0.0005	0.0001	0.0000	0.0000	0.0000
708	0.2672	0.0913	0.0287	0.0082	0.0021	0.0005	0.0001	0.0000	0.0000	0.0000
709	0.2612	0.0891	0.0279	0.0080	0.0021	0.0005	0.0001	0.0000	0.0000	0.0000
710	0.2554	0.0870	0.0272	0.0078	0.0020	0.0005	0.0001	0.0000	0.0000	0.0000
711	0.2498	0.0849	0.0265	0.0076	0.0020	0.0005	0.0001	0.0000	0.0000	0.0000
712	0.2442	0.0829	0.0258	0.0074	0.0019	0.0004	0.0001	0.0000	0.0000	0.0000
713	0.2388	0.0809	0.0252	0.0072	0.0018	0.0004	0.0001	0.0000	0.0000	0.0000
714	0.2335	0.0790	0.0246	0.0070	0.0018	0.0004	0.0001	0.0000	0.0000	0.0000
715	0.2283	0.0771	0.0239	0.0068	0.0017	0.0004	0.0001	0.0000	0.0000	0.0000
716	0.2233	0.0753	0.0233	0.0066	0.0017	0.0004	0.0001	0.0000	0.0000	0.0000
717	0.2183	0.0735	0.0227	0.0064	0.0016	0.0004	0.0001	0.0000	0.0000	0.0000
718	0.2135	0.0718	0.0221	0.0062	0.0016	0.0004	0.0001	0.0000	0.0000	0.0000
719	0.2087	0.0701	0.0216	0.0061	0.0015	0.0004	0.0000	0.0000	0.0000	0.0000
720	0.2041	0.0684	0.0210	0.0059	0.0015	0.0003	0.0000	0.0000	0.0000	0.0000
721	0.1996	0.0668	0.0205	0.0057	0.0015	0.0003	0.0000	0.0000	0.0000	0.0000
722	0.1952	0.0652	0.0200	0.0056	0.0014	0.0003	0.0000	0.0000	0.0000	0.0000
723	0.1908	0.0636	0.0195	0.0054	0.0014	0.0003	0.0000	0.0000	0.0000	0.0000
724	0.1866	0.0621	0.0190	0.0053	0.0013	0.0003	0.0000	0.0000	0.0000	0.0000
725	0.1824	0.0606	0.0185	0.0051	0.0013	0.0003	0.0000	0.0000	0.0000	0.0000
726	0.1784	0.0592	0.0180	0.0050	0.0013	0.0003	0.0000	0.0000	0.0000	0.0000
727	0.1744	0.0578	0.0176	0.0049	0.0012	0.0003	0.0000	0.0000	0.0000	0.0000
728	0.1706	0.0564	0.0171	0.0047	0.0012	0.0003	0.0000	0.0000	0.0000	0.0000
729	0.1668	0.0551	0.0167	0.0046	0.0011	0.0003	0.0000	0.0000	0.0000	0.0000
730	0.1631	0.0538	0.0163	0.0045	0.0011	0.0003	0.0000	0.0000	0.0000	0.0000
731	0.1595	0.0525	0.0158	0.0044	0.0011	0.0002	0.0000	0.0000	0.0000	0.0000
732	0.1559	0.0513	0.0154	0.0042	0.0011	0.0002	0.0000	0.0000	0.0000	0.0000
733	0.1525	0.0500	0.0150	0.0041	0.0010	0.0002	0.0000	0.0000	0.0000	0.0000
734	0.1491	0.0488	0.0147	0.0040	0.0010	0.0002	0.0000	0.0000	0.0000	0.0000
735	0.1458	0.0477	0.0143	0.0039	0.0010	0.0002	0.0000	0.0000	0.0000	0.0000
736	0.1425	0.0466	0.0139	0.0038	0.0009	0.0002	0.0000	0.0000	0.0000	0.0000
737	0.1394	0.0454	0.0136	0.0037	0.0009	0.0002	0.0000	0.0000	0.0000	0.0000
738	0.1363	0.0444	0.0132	0.0036	0.0009	0.0002	0.0000	0.0000	0.0000	0.0000
739	0.1333	0.0433	0.0129	0.0035	0.0009	0.0002	0.0000	0.0000	0.0000	0.0000
740	0.1303	0.0423	0.0126	0.0034	0.0008	0.0002	0.0000	0.0000	0.0000	0.0000
741	0.1274	0.0413	0.0122	0.0033	0.0008	0.0002	0.0000	0.0000	0.0000	0.0000
742	0.1246	0.0403	0.0119	0.0032	0.0008	0.0002	0.0000	0.0000	0.0000	0.0000
743	0.1218	0.0393	0.0116	0.0031	0.0008	0.0002	0.0000	0.0000	0.0000	0.0000
744	0.1191	0.0384	0.0113	0.0030	0.0007	0.0002	0.0000	0.0000	0.0000	0.0000
