source	x	y	z	R	time
193	16684.3613	-8053.9733	3518.8322	2108.7651	755.8575
194	16775.9643	-8094.0844	3518.8322	2108.7651	759.5953
195	16867.5672	-8134.1955	3518.8322	2108.7651	763.3332
196	16959.1702	-8174.3066	3518.8322	2108.7651	767.0710
197	17050.7731	-8214.4177	3518.8322	2108.7651	770.8089
198	17142.3760	-8254.5289	3518.8322	2108.7651	774.5467
199	17233.9790	-8294.6400	3518.8322	2108.7651	778.2846
200	17325.5819	-8334.7511	3518.8322	2108.7651	782.0224
201	17417.1849	-8374.8622	3518.8322	2108.7651	785.7603
202	17508.7878	-8414.9733	3518.8322	2108.7651	789.4981
203	17600.3908	-8455.0844	3518.8322	2108.7651	793.2360
204	17691.9937	-8495.1955	3518.8322	2108.7651	796.9738
205	17783.5966	-8535.3066	3518.8322	2108.7651	800.7117
206	17875.1996	-8575.4177	3518.8322	2108.7651	804.4495
207	17966.8025	-8615.5288	3518.8322	2108.7651	808.1874
208	18058.4055	-8655.6399	3518.8322	2108.7651	811.9252
209	18150.0084	-8695.7510	3518.8322	2108.7651	815.6631
210	18241.6113	-8735.8622	3518.8322	2108.7651	819.4009
211	18333.2143	-8775.9733	3518.8322	2108.7651	823.1388
212	18424.8172	-8816.0844	3518.8322	2108.7651	826.8766
213	18516.4202	-8856.1955	3518.8322	2108.7651	830.6145
214	18608.0231	-8896.3066	3518.8322	2108.7651	834.3523
215	18699.6261	-8936.4177	3518.8322	2108.7651	838.0902
216	18791.2290	-8976.5288	3518.8322	2108.7651	841.8280
217	18882.8319	-9016.6399	3518.8322	2108.7651	845.5659
218	18974.4349	-9056.7510	3518.8322	2108.7651	849.3037
219	19066.0378	-9096.8621	3518.8322	2108.7651	853.0416
220	19157.6408	-9136.9732	3518.8322	2108.7651	856.7794
221	19249.2437	-9177.0843	3518.8322	2108.7651	860.5173
222	19340.8467	-9217.1955	3518.8322	2108.7651	864.2551
223	19432.4496	-9257.3066	3518.8322	2108.7651	867.9930
224	19524.0525	-9297.4177	3518.8322	2108.7651	871.7308
225	19615.6555	-9337.5288	3518.8322	2108.7651	875.4687
226	19707.2584	-9377.6399	3518.8322	2108.7651	879.2065
227	19798.8614	-9417.7510	3518.8322	2108.7651	882.9444
228	19890.4643	-9457.8621	3518.8322	2108.7651	886.6822
229	19982.0672	-9497.9732	3518.8322	2108.7651	890.4201
230	20073.6702	-9538.0843	3518.8322	2108.7651	894.1579
231	20165.2731	-9578.1954	3518.8322	2108.7651	897.8958
232	20256.8761	-9618.3065	3518.8322	2108.7651	901.6336
233	20348.4790	-9658.4177	3518.8322	2108.7651	905.3715
234	20440.0820	-9698.5288	3518.8322	2108.7651	909.1093
235	20531.6849	-9738.6399	3518.8322	2108.7651	912.8472
236	20623.2878	-9778.7510	3518.8322	2108.7651	916.5850
237	20714.8908	-9818.8621	3518.8322	2108.7651	920.3229
238	20806.4937	-9858.9732	3518.8322	2108.7651	924.0607
239	20898.0967	-9899.0843	3518.8322	2108.7651	927.7986
240	20989.6996	-9939.1954	3518.8322	2108.7651	931.5364
241	21081.3025	-9979.3065	3518.8322	2108.7651	935.2743
242	21172.9055	-10019.4176	3518.8322	2108.7651	939.0121
243	21264.5084	-10059.5287	3518.8322	2108.7651	942.7500
244	21356.1114	-10099.6398	3518.8322	2108.7651	946.4878
245	21447.7143	-10139.7510	3518.8322	2108.7651	950.2257
246	21539.3173	-10179.8621	3518.8322	2108.7651	953.9635
247	21630.9202	-10219.9732	3518.8322	2108.7651	957.7014
248	21722.5231	-10260.0843	3518.8322	2108.7651	961.4392
249	21814.1261	-10300.1954	3518.8322	2108.7651	965.1771
250	21905.7290	-10340.3065	3518.8322	2108.7651	968.9149
251	21997.3320	-10380.4176	3518.8322	2108.7651	972.6528
252	22088.9349	-10420.5287	3518.8322	2108.7651	976.3906
253	22180.5378	-10460.6398	3518.8322	2108.7651	980.1285
254	22272.1408	-10500.7509	3518.8322	2108.7651	983.8663
255	22363.7437	-10540.8620	3518.8322	2108.7651	987.6042
256	22455.3467	-10580.9732	3518.8322	2108.7651	991.3420
257	22546.9496	-10621.0843	3518.8322	2108.7651	995.0799
258	22638.5526	-10661.1954	3518.8322	2108.7651	998.8177
259	22730.1555	-10701.3065	3518.8322	2108.7651	1002.5556
260	22821.7584	-10741.4176	3518.8322	2108.7651	1006.2934
261	22913.3614	-10781.5287	3518.8322	2108.7651	1010.0313
262	23004.9643	-10821.6398	3518.8322	2108.7651	1013.7691
263	23096.5673	-10861.7509	3518.8322	2108.7651	1017.5070
264	23188.1702	-10901.8620	3518.8322	2108.7651	1021.2448
265	23279.7732	-10941.9731	3518.8322	2108.7651	1024.9827
266	23371.3761	-10982.0842	3518.8322	2108.7651	1028.7205
267	23462.9790	-11022.1953	3518.8322	2108.7651	1032.4584
268	23554.5820	-11062.3065	3518.8322	2108.7651	1036.1962
269	23646.1849	-11102.4176	3518.8322	2108.7651	1039.9341
270	23737.7879	-11142.5287	3518.8322	2108.7651	1043.6719
271	23829.3908	-11182.6398	3518.8322	2108.7651	1047.4098
272	23920.9937	-11222.7509	3518.8322	2108.7651	1051.1476
273	24012.5967	-11262.8620	3518.8322	2108.7651	1054.8855
274	24104.1996	-11302.9731	3518.8322	2108.7651	1058.6233
275	24195.8026	-11343.0842	3518.8322	2108.7651	1062.3612
276	24287.4055	-11383.1953	3518.8322	2108.7651	1066.0990
277	24379.0085	-11423.3064	3518.8322	2108.7651	1069.8369
278	24470.6114	-11463.4175	3518.8322	2108.7651	1073.5747
279	24562.2143	-11503.5286	3518.8322	2108.7651	1077.3126
280	24653.8173	-11543.6398	3518.8322	2108.7651	1081.0504
281	24745.4202	-11583.7509	3518.8322	2108.7651	1084.7883
282	24837.0232	-11623.8620	3518.8322	2108.7651	1088.5261
283	24928.6261	-11663.9731	3518.8322	2108.7651	1092.2640
284	25020.2290	-11704.0842	3518.8322	2108.7651	1096.0018
285	25111.8320	-11744.1953	3518.8322	2108.7651	1099.7397
286	25203.4349	-11784.3064	3518.8322	2108.7651	1103.4775
287	25295.0379	-11824.4175	3518.8322	2108.7651	1107.2154
288	25386.6408	-11864.5286	3518.8322	2108.7651	1110.9533
289	25478.2438	-11904.6397	3518.8322	2108.7651	1114.6911
290	25569.8467	-11944.7508	3518.8322	2108.7651	1118.4290
291	25661.4496	-11984.8620	3518.8322	2108.7651	1122.1668
292	25753.0526	-12024.9731	3518.8322	2108.7651	1125.9047
293	25844.6555	-12065.0842	3518.8322	2108.7651	1129.6425
294	25936.2585	-12105.1953	3518.8322	2108.7651	1133.3804
295	26027.8614	-12145.3064	3518.8322	2108.7651	1137.1182
296	26119.4644	-12185.4175	3518.8322	2108.7651	1140.8561
297	26211.0673	-12225.5286	3518.8322	2108.7651	1144.5939
298	26302.6702	-12265.6397	3518.8322	2108.7651	1148.3318
