#source	-4	-3	-2	-1	0	1	2	3	4	5
65	3.3773e+03	6.0794e+04	4.5664e+05	1.7047e+06	3.7755e+06	5.0360e+06	3.3703e+06	1.3496e+06	2.5337e+05	2.6211e+04
66	3.0007e+03	5.5820e+04	4.2938e+05	1.6308e+06	3.6647e+06	4.9561e+06	3.3425e+06	1.3440e+06	2.5299e+05	2.6201e+04
67	2.6662e+03	5.1256e+04	4.0377e+05	1.5602e+06	3.5572e+06	4.8774e+06	3.3150e+06	1.3383e+06	2.5261e+05	2.6191e+04
68	2.3693e+03	4.7068e+04	3.7969e+05	1.4927e+06	3.4529e+06	4.8000e+06	3.2876e+06	1.3327e+06	2.5224e+05	2.6181e+04
69	2.1056e+03	4.3225e+04	3.5706e+05	1.4281e+06	3.3518e+06	4.7239e+06	3.2606e+06	1.3271e+06	2.5186e+05	2.6171e+04
70	1.8714e+03	3.9698e+04	3.3580e+05	1.3663e+06	3.2537e+06	4.6491e+06	3.2337e+06	1.3216e+06	2.5149e+05	2.6161e+04
71	1.6633e+03	3.6460e+04	3.1581e+05	1.3072e+06	3.1585e+06	4.5755e+06	3.2071e+06	1.3160e+06	2.5112e+05	2.6151e+04
72	1.4785e+03	3.3488e+04	2.9701e+05	1.2507e+06	3.0662e+06	4.5031e+06	3.1807e+06	1.3105e+06	2.5074e+05	2.6141e+04
73	1.3144e+03	3.0760e+04	2.7935e+05	1.1967e+06	2.9767e+06	4.4318e+06	3.1545e+06	1.3050e+06	2.5037e+05	2.6131e+04
74	1.1686e+03	2.8256e+04	2.6275e+05	1.1450e+06	2.8898e+06	4.3618e+06	3.1286e+06	1.2996e+06	2.5000e+05	2.6121e+04
75	1.0390e+03	2.5957e+04	2.4714e+05	1.0956e+06	2.8056e+06	4.2929e+06	3.1029e+06	1.2941e+06	2.4963e+05	2.6111e+04
76	9.2383e+02	2.3847e+04	2.3246e+05	1.0483e+06	2.7239e+06	4.2251e+06	3.0774e+06	1.2887e+06	2.4926e+05	2.6101e+04
77	8.2151e+02	2.1909e+04	2.1866e+05	1.0031e+06	2.6446e+06	4.1585e+06	3.0521e+06	1.2833e+06	2.4889e+05	2.6091e+04
78	7.3058e+02	2.0129e+04	2.0569e+05	9.5988e+05	2.5676e+06	4.0929e+06	3.0270e+06	1.2779e+06	2.4852e+05	2.6081e+04
79	6.4976e+02	1.8495e+04	1.9350e+05	9.1852e+05	2.4930e+06	4.0284e+06	3.0022e+06	1.2726e+06	2.4815e+05	2.6071e+04
80	5.7792e+02	1.6995e+04	1.8203e+05	8.7895e+05	2.4206e+06	3.9650e+06	2.9775e+06	1.2673e+06	2.4778e+05	2.6061e+04
81	5.1406e+02	1.5617e+04	1.7125e+05	8.4111e+05	2.3504e+06	3.9026e+06	2.9531e+06	1.2620e+06	2.4741e+05	2.6051e+04
82	4.5728e+02	1.4351e+04	1.6111e+05	8.0491e+05	2.2822e+06	3.8412e+06	2.9288e+06	1.2567e+06	2.4705e+05	2.6041e+04
83	4.0681e+02	1.3189e+04	1.5158e+05	7.7028e+05	2.2161e+06	3.7808e+06	2.9048e+06	1.2514e+06	2.4668e+05	2.6031e+04
84	3.6193e+02	1.2121e+04	1.4261e+05	7.3715e+05	2.1520e+06	3.7214e+06	2.8810e+06	1.2462e+06	2.4632e+05	2.6021e+04
85	3.2202e+02	1.1141e+04	1.3418e+05	7.0546e+05	2.0897e+06	3.6630e+06	2.8574e+06	1.2410e+06	2.4595e+05	2.6011e+04
86	2.8654e+02	1.0240e+04	1.2625e+05	6.7514e+05	2.0293e+06	3.6055e+06	2.8340e+06	1.2358e+06	2.4559e+05	2.6001e+04
87	2.5498e+02	9.4125e+03	1.1880e+05	6.4614e+05	1.9707e+06	3.5490e+06	2.8108e+06	1.2306e+06	2.4522e+05	2.5991e+04
88	2.2691e+02	8.6523e+03	1.1179e+05	6.1840e+05	1.9138e+06	3.4934e+06	2.7877e+06	1.2255e+06	2.4486e+05	2.5982e+04
89	2.0194e+02	7.9538e+03	1.0519e+05	5.9185e+05	1.8586e+06	3.4386e+06	2.7649e+06	1.2204e+06	2.4450e+05	2.5972e+04
